"fungal_taxon","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","n_insect_partners"
"ASV_4507","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Hyphodontia","s__alienata",1
"ASV_4537","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neoantennariellaceae","g__Cippumomyces","s__mortalis",1
"ASV_455","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Venturiocistella",NA,1
"ASV_4570","p__Ascomycota","c__Dothideomycetes","o__Patellariales","f__Patellariaceae","g__Rhizodiscina",NA,1
"ASV_4578","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4587","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,1
"ASV_459","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Spirographaceae","g__Spirographa","s__fusisporella",1
"ASV_4592","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA,1
"ASV_461","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4612","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae",NA,NA,1
"ASV_4615","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA,1
"ASV_4616","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae",NA,NA,1
"ASV_4617","p__Ascomycota","c__Lecanoromycetes","o__Caliciales",NA,NA,NA,1
"ASV_4625","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma",NA,1
"ASV_4646","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala",NA,1
"ASV_466","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma",NA,1
"ASV_4669","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__pseudopenaeus",1
"ASV_4676","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA,1
"ASV_4708","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare",1
"ASV_4714","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_472","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia",NA,1
"ASV_4784","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4795","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_481","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
