"fungal_taxon","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","n_insect_partners"
"ASV_15964","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_15972","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Dothidea",NA,1
"ASV_15992","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__kishianum",1
"ASV_15997","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Pringsheimia","s__smilacis",1
"ASV_16","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__silvicola",1
"ASV_160","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__sacchari",1
"ASV_1604","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia","s__cuniculi",1
"ASV_1609","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neosetophoma","s__samarorum",1
"ASV_16098",NA,NA,NA,NA,NA,NA,1
"ASV_16099","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__quercina",1
"ASV_16122","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA,1
"ASV_16138","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Fuscolachnum","s__inopinatum",1
"ASV_16140","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium",NA,1
"ASV_16147","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meripilaceae","g__Meripilaceae_gen_Incertae_sedis",NA,1
"ASV_1616","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Coccomyces","s__strobi",1
"ASV_162","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",1
"ASV_16211","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Erythrogloeaceae","g__Dendrostoma",NA,1
"ASV_16214","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucariaceae_gen_Incertae_sedis",NA,1
"ASV_16223","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_16224",NA,NA,NA,NA,NA,NA,1
"ASV_16228","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae",NA,NA,1
"ASV_16233","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__angustus",1
"ASV_16235","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_1625","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta",1
"ASV_16271","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium",NA,1
"ASV_16273","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__sparganioidis",1
"ASV_16274","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA,1
"ASV_163",NA,NA,NA,NA,NA,NA,1
"ASV_1631",NA,NA,NA,NA,NA,NA,1
"ASV_16337","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_16339","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Schizonella",NA,1
"ASV_1634","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_16355","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Lachnocladiaceae","g__Lachnocladiaceae_gen_Incertae_sedis",NA,1
"ASV_16364","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Steccherinaceae","g__Steccherinum","s__fimbriatum",1
"ASV_164","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__ontariensis",1
"ASV_1642","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Pseudocercospora","s__sphaerellae-eugeniae",1
"ASV_1644","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_16457","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Dothidea",NA,1
"ASV_16482","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_16495","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,1
"ASV_16499","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Rhynchogastrema","s__visegradensis",1
"ASV_16500","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia",NA,1
"ASV_16504","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_16526","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Caliciopsis","s__orientalis",1
"ASV_16530","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Moristroma","s__quercinum",1
"ASV_1656","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA,1
"ASV_16585","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_1659","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Ordus","s__tribrachiatus",1
"ASV_16591","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_1661",NA,NA,NA,NA,NA,NA,1
"ASV_16648","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium",NA,1
"ASV_1669",NA,NA,NA,NA,NA,NA,1
"ASV_1671","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA,1
"ASV_16721","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",1
"ASV_16734","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetales_fam_Incertae_sedis","g__Spizellomycetales_gen_Incertae_sedis",NA,1
"ASV_16755","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Hericiaceae","g__Hericiaceae_gen_Incertae_sedis",NA,1
"ASV_16760","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__ussuriensis",1
"ASV_16761","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariales_fam_Incertae_sedis","g__Hansfordia","s__pulvinata",1
"ASV_1678","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_16789","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis","s__conspersa",1
"ASV_1679","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_1681","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__nitens",1
"ASV_1685","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Occultifur","s__kilbournensis",1
"ASV_16891","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA,1
"ASV_169","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_16940","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,1
"ASV_16945","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,1
"ASV_1695","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA,1
"ASV_16952","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodosporidiobolus","s__colostri",1
"ASV_16965","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Acrodontium","s__crateriforme",1
"ASV_1698","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_17009","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia",NA,1
"ASV_17013","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_17016",NA,NA,NA,NA,NA,NA,1
"ASV_17028","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__viticola",1
"ASV_17035","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia",NA,1
"ASV_1708","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Neoantrodia","s__angusta",1
"ASV_171","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_17169","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,1
"ASV_17173","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria",NA,1
"ASV_1718","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Cystobasidiomycetes_fam_Incertae_sedis","g__Cystobasidiomycetes_gen_Incertae_sedis",NA,1
"ASV_17184","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,1
"ASV_172","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus",1
"ASV_1720","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales",NA,NA,NA,1
"ASV_17203","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__clastophylla",1
"ASV_17212","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_17214","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA,1
"ASV_17215","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_17218","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Neocladophialophora","s__quercina",1
"ASV_1723","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma",NA,1
"ASV_17245","p__Ascomycota","c__Lecanoromycetes","o__Lecanoromycetes_ord_Incertae_sedis","f__Lecanoromycetes_fam_Incertae_sedis","g__Lecanoromycetes_gen_Incertae_sedis",NA,1
"ASV_1727","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Cudoniaceae",NA,NA,1
"ASV_1728","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,1
"ASV_173","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__globosa",1
"ASV_17316","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,1
"ASV_17321","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli",1
"ASV_17354","p__Ascomycota","c__Dothideomycetes","o__Myriangiales",NA,NA,NA,1
"ASV_1736","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__macilenta",1
"ASV_17360","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA,1
"ASV_1738","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA,1
"ASV_17384","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium",NA,1
"ASV_17393","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__inositophila",1
"ASV_17394","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Sphaerulina","s__pelargonii",1
"ASV_17397","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae",NA,NA,1
"ASV_17401","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__viridescens",1
"ASV_17504","p__Basidiomycota","c__Dacrymycetes","o__Dacrymycetales","f__Dacrymycetaceae","g__Dacrymyces","s__chrysospermus",1
"ASV_17515","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_17529",NA,NA,NA,NA,NA,NA,1
"ASV_17531",NA,NA,NA,NA,NA,NA,1
"ASV_1755","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces","s__roseus",1
"ASV_1759","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Physcia",NA,1
"ASV_176","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Coryneliaceae_gen_Incertae_sedis",NA,1
"ASV_1763","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromataceae","g__Microstroma","s__bacarum",1
"ASV_17680","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_17697","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,1
"ASV_17709","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__catalonicum",1
"ASV_17711","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Dothideales_gen_Incertae_sedis",NA,1
"ASV_17712","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_17717","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",1
"ASV_17719","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",1
"ASV_1772","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena",NA,1
"ASV_1778","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__dingjieense",1
"ASV_1779","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Chaetophoma",NA,1
"ASV_17794","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomonia","s__mirabilis",1
"ASV_17795",NA,NA,NA,NA,NA,NA,1
"ASV_1782","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Phomopsis","s__pustulata",1
"ASV_1783","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_17838","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_1784","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Proliferodiscus","s__tricolor",1
"ASV_1793","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Mycosphaerella","s__latebrosa",1
"ASV_17935","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Pringsheimia","s__smilacis",1
"ASV_17939","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe",NA,1
"ASV_17953","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_17965","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_17985","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Hormonema","s__macrosporum",1
"ASV_1799","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Phaeomoniella",NA,1
"ASV_17991","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_180","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Kurtzmaniella",NA,1
"ASV_18008","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,1
"ASV_1801","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,1
"ASV_18022","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Entomortierella","s__parvispora",1
"ASV_18030","p__Ascomycota","c__Dothideomycetes","o__Dothideales",NA,NA,NA,1
"ASV_1804","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA,1
"ASV_18092","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli",1
"ASV_18094","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_181","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Flavoparmelia","s__caperata",1
"ASV_18118","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Elsinoaceae","g__Elsinoe","s__heveae",1
"ASV_18126","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_18144","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Toxicocladosporium","s__glendoranum",1
"ASV_18169","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Spencermartinsiella","s__europaea",1
"ASV_18174","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae",NA,NA,1
"ASV_18183","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA,1
"ASV_1820","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Resinicium","s__bicolor",1
"ASV_1822","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__rubella",1
"ASV_1826","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta",1
"ASV_1830","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Harknessiaceae","g__Harknessia",NA,1
"ASV_18311","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Helminthosporium",NA,1
"ASV_18312","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_18329","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Rhinocladiella","s__coryli",1
"ASV_1834","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae","g__Lecanora","s__sarcopidoides",1
"ASV_18355","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Caliciaceae","g__Amandinea","s__lecideina",1
"ASV_1836","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_18369","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_1841","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Hyphodontia","s__pallidula",1
"ASV_18456","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Clavulinaceae","g__Clavulinaceae_gen_Incertae_sedis",NA,1
"ASV_18458","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_18462","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_1848","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Biscogniauxia",NA,1
"ASV_185","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_18508","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium",NA,1
"ASV_1853","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Pyrenochaetopsis","s__microspora",1
"ASV_18535","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,1
"ASV_1855","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paraphaeosphaeria","s__michotii",1
"ASV_1860","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__virescens",1
"ASV_18633","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_18640","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae",NA,NA,1
"ASV_1867","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremella",NA,1
"ASV_18681","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA,1
"ASV_1869","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA,1
"ASV_1870","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae",NA,NA,1
"ASV_18714","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella",NA,1
"ASV_18716","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea","s__prunicola",1
"ASV_1876","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida",1
"ASV_1886","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Melanchlenus",NA,1
"ASV_18871","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Lindgomycetaceae_gen_Incertae_sedis",NA,1
"ASV_18881","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","s__cerviculata",1
"ASV_18885","p__Ascomycota","c__Dothideomycetes","o__Hysteriales","f__Hysteriaceae","g__Hysterium",NA,1
"ASV_189","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA,1
"ASV_1891","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_1896","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_18982","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_19012","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Sporocadaceae","g__Magnohelicospora","s__iberica",1
"ASV_19029","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomataceae","g__Tilletiopsis","s__lilacina",1
"ASV_1905","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola",1
"ASV_19050","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae",NA,NA,1
"ASV_19056","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_19061","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae",NA,NA,1
"ASV_1908","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA,1
"ASV_1912",NA,NA,NA,NA,NA,NA,1
"ASV_192","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_1920","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Otidea","s__kunmingensis",1
"ASV_19206","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_1922","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Parmeliaceae","g__Hypogymnia","s__incurvoides",1
"ASV_1923","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","s__olivaceus",1
"ASV_19267","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA,1
"ASV_19273","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea",1
"ASV_19280","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Xenoteratosphaeria","s__jonkershoekensis",1
"ASV_19292","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Jianyuniaceae","g__Jianyunia",NA,1
"ASV_1937","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium",NA,1
"ASV_19390","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA,1
"ASV_19392","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Melanopsaceae","g__Melanops",NA,1
"ASV_19395","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales",NA,NA,NA,1
"ASV_19397","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_194","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia","s__monochaeta",1
"ASV_1943","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta",1
"ASV_19430","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Coniozyma","s__leucospermi",1
"ASV_19456","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,1
"ASV_19474","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA,1
"ASV_19487","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Phialophora","s__phaeophora",1
"ASV_19489","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli",1
"ASV_19604","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",1
"ASV_19609","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_19620","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__ilicicola",1
"ASV_19628",NA,NA,NA,NA,NA,NA,1
"ASV_19651","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_19693",NA,NA,NA,NA,NA,NA,1
"ASV_1973","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA,1
"ASV_1975","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",1
