"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_1370",-4.21932585192515,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_1387",4.02193924201427,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Mytilinidion","s__insulare","positive"
"Pityogenes hopkinsi","ASV_1475",3.81588288359093,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Thyronectria",NA,"positive"
"Pityogenes hopkinsi","ASV_1477",3.32829862025867,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,"positive"
"Pityogenes hopkinsi","ASV_1494",4.58487329258365,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__gibbosa","positive"
"Pityogenes hopkinsi","ASV_1497",3.9923045096145,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,"positive"
"Pityogenes hopkinsi","ASV_1563",3.80782249692944,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea",NA,"positive"
"Pityogenes hopkinsi","ASV_1631",3.32151954937773,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1671",3.61005512544468,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1678",3.5424048386346,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1681",6.69971150174852,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__nitens","positive"
"Pityogenes hopkinsi","ASV_1718",3.35788785821422,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Cystobasidiomycetes_fam_Incertae_sedis","g__Cystobasidiomycetes_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_1720",-3.68292748807476,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_1728",3.68784639222553,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,"positive"
"Pityogenes hopkinsi","ASV_1772",3.48915916827782,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Arthrocatena",NA,"positive"
"Pityogenes hopkinsi","ASV_1779",3.7064230173059,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Chaetophoma",NA,"positive"
"Pityogenes hopkinsi","ASV_1820",5.80893490446261,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Resinicium","s__bicolor","positive"
"Pityogenes hopkinsi","ASV_1826",4.40248485964677,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_1860",4.52230311004069,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__virescens","positive"
"Pityogenes hopkinsi","ASV_1876",-2.93506700191945,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida","negative"
"Pityogenes hopkinsi","ASV_1891",4.14948787466631,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,"positive"
"Pityogenes hopkinsi","ASV_1912",3.44842918937095,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1923",4.46165225874628,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","s__olivaceus","positive"
"Pityogenes hopkinsi","ASV_1977",5.11636610491123,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_2013",4.3808929936664,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_2027",-2.6613567539479,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomerium",NA,"negative"
"Pityogenes hopkinsi","ASV_2102",-3.97756564018167,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__globispora","negative"
"Pityogenes hopkinsi","ASV_2134",3.10167070028136,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__woronichinii","positive"
"Pityogenes hopkinsi","ASV_2272",3.80861158038615,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Lopadostomataceae","g__Lopadostoma",NA,"positive"
"Pityogenes hopkinsi","ASV_2373",3.15713403648391,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Cinereomyces","s__lindbladii","positive"
"Pityogenes hopkinsi","ASV_2380",4.44732882738452,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fomitopsis","s__pinicola","positive"
"Pityogenes hopkinsi","ASV_2432",5.36254484069203,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA,"positive"
"Pityogenes hopkinsi","ASV_2450",4.74080553673713,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA,"positive"
"Pityogenes hopkinsi","ASV_2521",-3.8261817056838,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Melanchlenus",NA,"negative"
"Pityogenes hopkinsi","ASV_2593",4.07613886405242,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA,"positive"
"Pityogenes hopkinsi","ASV_2687",-3.82389513417705,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Trimorphomyces",NA,"negative"
"Pityogenes hopkinsi","ASV_2737",-3.13668142489119,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Endosporiaceae","g__Endosporium",NA,"negative"
"Pityogenes hopkinsi","ASV_2741",4.56345265408158,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,"positive"
"Pityogenes hopkinsi","ASV_2871",-3.72448645255412,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__abramsii","negative"
"Pityogenes hopkinsi","ASV_3009",-2.78771648756545,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__salicis","negative"
"Pityogenes hopkinsi","ASV_3032",-3.06416238067114,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_3108",4.30885973310312,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_3163",-3.39769413177067,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA,"negative"
"Pityogenes hopkinsi","ASV_3169",6.0297443609369,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomycetaceae_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_3208",5.64898793763115,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_3257",-2.42917677303901,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Chaetomella","s__oblonga","negative"
"Pityogenes hopkinsi","ASV_3414",-4.25897038847148,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__tetramera","negative"
"Pityogenes hopkinsi","ASV_3421",3.62946286010383,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_3582",3.45293458547902,0.001,0.0224893617021277,0.281706150341686,"Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gloeophyllales","f__Gloeophyllaceae","g__Gloeophyllum","s__sepiarium","positive"
