	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_324	100	100	95	95	95	95	95
ASV_325	100	100	100	100	100	100	59
ASV_326	100	100	100	100	100	100	79
ASV_327	100	100	100	100	100	100	100
ASV_328	100	100	100	100	100	100	100
ASV_329	100	100	100	100	100	100	93
ASV_330	100	100	100	100	100	100	100
ASV_331	100	100	100	100	100	100	100
ASV_332	100	100	100	100	100	100	100
ASV_333	60	60	60	59	55	38	38
ASV_334	100	100	100	100	97	97	87
ASV_335	100	100	100	100	100	65	51
ASV_336	100	100	100	100	100	100	82
ASV_337	100	100	100	100	100	99	91
ASV_338	100	100	100	100	100	100	100
ASV_339	100	100	62	61	61	61	30
ASV_340	97	97	48	48	48	47	46
ASV_341	100	42	42	42	42	42	42
ASV_342	100	100	98	98	93	92	90
ASV_343	100	100	100	100	100	100	99
ASV_344	100	100	100	100	100	100	98
ASV_345	100	100	100	100	100	100	64
ASV_346	100	100	100	100	100	100	56
ASV_347	99	99	99	99	99	99	95
ASV_348	100	100	100	100	100	100	100
ASV_349	100	100	100	100	46	46	46
ASV_350	78	78	78	78	43	19	16
ASV_351	100	100	100	100	100	100	99
ASV_352	100	100	100	100	100	97	66
ASV_353	100	100	100	100	100	100	100
ASV_354	47	47	47	47	47	46	46
ASV_355	100	100	100	100	100	100	100
ASV_356	100	92	20	18	18	18	18
ASV_357	100	100	100	100	100	100	100
ASV_358	100	100	100	100	39	39	39
ASV_359	100	100	100	100	100	100	100
ASV_360	100	100	100	100	98	91	65
ASV_361	97	96	44	44	44	44	44
ASV_362	100	100	100	100	100	100	100
ASV_363	100	100	100	97	97	94	64
ASV_364	100	100	100	100	100	100	100
ASV_365	100	100	100	100	100	100	75
ASV_366	100	100	100	100	100	100	100
ASV_367	100	100	82	82	82	82	41
ASV_368	100	100	100	100	100	100	97
ASV_369	100	100	100	100	92	66	63
ASV_370	99	99	25	25	25	25	25
ASV_371	100	100	100	100	100	100	100
ASV_372	100	100	100	100	100	100	43
ASV_373	100	100	100	100	100	100	100
ASV_374	100	100	100	100	100	100	94
ASV_375	100	100	100	100	100	100	100
ASV_376	100	100	100	100	100	100	100
ASV_377	100	100	100	100	94	71	32
ASV_378	44	44	30	30	30	30	30
ASV_379	100	100	100	100	100	100	79
ASV_380	100	99	54	54	44	42	38
ASV_381	100	100	100	100	100	100	100
ASV_382	100	100	100	100	100	100	100
ASV_383	100	98	84	84	71	68	68
ASV_384	100	100	100	96	96	96	96
ASV_385	100	100	100	100	94	94	94
ASV_386	100	100	100	100	70	69	42
ASV_387	100	100	100	100	56	56	56
ASV_388	100	100	99	99	81	81	81
ASV_389	100	100	100	100	100	100	100
ASV_390	100	100	100	100	100	100	100
ASV_391	100	100	100	100	100	100	100
ASV_392	84	0	0	0	0	0	0
ASV_393	100	100	100	100	100	99	53
ASV_394	95	95	95	95	93	93	93
ASV_395	90	90	90	90	90	73	33
ASV_396	100	100	100	100	100	100	54
ASV_397	100	100	100	100	100	100	100
ASV_398	86	45	45	45	45	45	32
ASV_399	100	100	100	100	100	100	100
ASV_400	100	100	100	100	100	100	94
ASV_401	96	96	45	43	43	43	43
ASV_402	100	100	100	100	100	100	98
ASV_403	100	100	100	100	100	100	100
ASV_404	86	86	83	78	23	15	15
ASV_405	98	98	97	97	24	24	24
ASV_406	100	100	97	97	97	93	83
ASV_407	100	100	100	100	100	100	100
ASV_408	100	100	100	100	100	100	100
ASV_409	100	100	100	100	100	100	98
ASV_410	100	100	100	100	100	100	72
ASV_411	100	100	100	100	100	100	100
ASV_412	100	100	100	100	100	100	82
ASV_413	100	100	100	100	100	100	100
ASV_414	100	100	100	100	100	100	98
ASV_415	91	89	88	88	87	87	41
ASV_416	100	100	100	100	100	91	52
ASV_417	100	100	100	100	100	100	100
ASV_418	100	100	100	100	100	100	94
ASV_419	100	100	100	100	100	100	100
ASV_420	100	100	97	97	97	87	53
ASV_421	100	100	100	100	100	100	79
ASV_422	100	100	100	100	100	100	100
ASV_423	100	100	100	100	100	99	98
ASV_424	65	56	56	56	55	55	38
ASV_425	100	100	100	100	100	100	95
ASV_426	100	100	100	100	100	100	88
ASV_427	100	100	100	100	100	99	28
ASV_428	100	100	100	100	100	100	42
ASV_429	100	100	100	100	100	100	100
ASV_430	100	99	99	81	74	34	34
ASV_431	99	99	99	99	96	91	87
ASV_432	100	100	100	100	100	100	100
ASV_433	100	100	100	100	100	100	89
ASV_434	100	100	100	100	98	98	98
ASV_435	100	100	100	100	100	100	88
ASV_436	100	100	100	100	54	54	46
ASV_437	83	80	80	80	52	52	50
ASV_438	100	100	45	45	45	45	45
ASV_439	70	61	46	46	43	43	38
ASV_440	100	100	100	100	100	100	100
ASV_441	100	100	100	100	100	100	98
ASV_442	100	74	73	67	67	10	3
ASV_443	100	100	99	99	98	98	98
ASV_444	100	100	100	100	100	100	91
ASV_445	62	62	31	31	31	31	31
ASV_446	99	59	58	56	49	49	49
ASV_447	100	100	100	100	100	100	66
ASV_448	100	100	100	100	100	100	100
ASV_449	100	100	100	100	99	99	99
ASV_450	100	100	100	100	100	100	100
ASV_451	100	100	100	100	100	100	36
ASV_452	100	100	100	100	100	100	60
ASV_453	46	46	46	46	46	46	46
ASV_454	100	100	100	100	100	100	100
ASV_455	100	100	97	97	97	94	94
ASV_456	100	100	49	49	49	49	49
ASV_457	100	100	100	100	100	100	64
ASV_458	100	100	100	100	100	100	100
ASV_459	98	93	78	73	73	73	73
ASV_460	100	100	100	100	100	100	84
ASV_461	73	71	17	2	2	2	1
ASV_462	100	100	100	100	100	61	61
ASV_463	100	33	33	33	33	33	33
ASV_464	100	100	100	100	100	100	95
ASV_465	54	54	54	53	53	49	49
ASV_466	100	100	100	100	100	89	42
ASV_467	100	100	100	100	100	98	84
ASV_468	100	100	100	100	100	100	100
ASV_469	28	28	28	28	28	28	28
ASV_470	100	100	100	100	100	100	100
ASV_471	100	87	87	87	87	71	71
ASV_472	100	99	99	99	97	96	61
ASV_473	100	100	100	100	100	100	100
ASV_474	100	100	100	100	100	100	100
ASV_475	100	100	94	94	76	50	19
ASV_476	100	99	99	99	99	99	68
ASV_477	53	53	53	53	53	53	53
ASV_478	100	100	100	100	77	77	76
ASV_479	100	98	98	66	62	20	9
ASV_480	100	100	100	100	100	100	100
ASV_481	100	100	100	100	56	56	55
ASV_482	100	100	99	93	85	70	63
ASV_483	100	100	100	100	100	95	95
ASV_484	100	100	26	26	26	26	26
ASV_485	100	100	100	100	100	100	67
ASV_486	93	49	49	49	49	49	49
ASV_487	100	100	100	100	100	100	94
ASV_488	100	44	44	44	44	44	44
ASV_489	100	100	100	100	100	100	100
ASV_490	100	100	100	100	100	100	100
ASV_491	98	94	67	14	12	11	11
ASV_492	100	100	100	100	56	56	56
ASV_493	100	100	100	100	100	100	100
ASV_494	99	62	54	52	45	45	45
ASV_495	96	94	51	51	45	41	29
ASV_496	100	99	99	99	99	99	33
ASV_497	100	100	100	100	100	100	96
ASV_498	100	100	100	100	100	100	100
ASV_499	100	100	100	100	85	85	80
ASV_500	100	100	100	100	100	100	95
ASV_501	100	100	100	100	100	100	100
ASV_502	95	95	94	42	42	42	42
ASV_503	100	100	84	84	84	84	55
ASV_504	100	95	95	90	90	90	39
ASV_505	91	46	46	46	46	46	46
ASV_506	100	66	66	52	52	24	24
ASV_507	100	100	100	100	100	57	57
ASV_508	98	98	88	88	37	20	20
ASV_509	100	100	100	100	100	100	75
ASV_510	100	100	100	100	100	98	98
ASV_511	100	100	100	100	100	100	100
ASV_512	100	77	76	76	76	44	33
ASV_513	100	100	58	58	39	39	39
ASV_514	100	100	94	94	94	69	48
ASV_515	100	100	100	100	100	100	100
ASV_516	100	100	48	48	40	40	40
ASV_517	100	100	100	100	100	100	100
ASV_518	95	93	92	92	87	72	70
ASV_519	89	85	67	67	56	53	18
ASV_520	100	100	100	100	100	100	71
ASV_521	100	100	100	100	100	100	100
ASV_522	8	8	8	8	8	8	8
ASV_523	100	100	100	100	100	100	98
ASV_524	100	100	100	100	76	74	74
ASV_525	100	100	100	100	100	100	100
ASV_526	100	100	100	100	100	100	100
ASV_527	95	95	93	93	81	81	64
ASV_528	100	100	100	100	100	100	100
ASV_529	100	100	100	100	100	98	30
ASV_530	100	100	100	100	100	100	86
ASV_531	100	99	99	99	99	97	84
ASV_532	100	100	100	100	100	100	100
ASV_533	47	28	8	8	6	4	4
ASV_534	100	100	100	100	100	97	94
ASV_535	100	100	100	100	100	100	95
ASV_536	90	89	86	86	76	68	58
ASV_537	100	100	100	100	100	100	100
ASV_538	76	74	74	74	73	73	73
ASV_539	100	100	100	66	66	66	66
ASV_540	100	100	47	47	47	47	47
ASV_541	100	100	100	100	78	77	73
ASV_542	100	46	46	46	46	46	46
ASV_543	91	89	84	84	76	69	59
ASV_544	100	100	100	100	100	100	98
ASV_545	100	100	95	95	95	73	65
ASV_546	100	100	100	100	100	100	100
ASV_547	100	31	31	31	31	31	31
ASV_548	100	100	100	100	100	100	100
ASV_549	100	24	24	24	24	24	21
ASV_550	100	100	100	98	72	56	56
ASV_551	100	100	97	97	96	70	27
ASV_552	100	100	100	100	100	100	99
ASV_553	100	100	100	100	95	95	95
ASV_554	100	100	100	92	92	92	92
ASV_555	100	100	100	100	100	100	99
ASV_556	100	100	100	100	100	100	100
ASV_557	100	100	99	99	99	6	6
ASV_558	100	100	100	100	99	97	87
ASV_559	100	100	100	100	100	100	99
ASV_560	100	100	100	100	100	80	79
ASV_561	100	18	18	18	18	18	16
ASV_562	100	100	98	96	93	45	45
ASV_563	91	89	88	88	87	87	87
ASV_564	100	100	100	100	99	99	99
ASV_565	99	99	99	99	99	99	99
ASV_566	99	99	99	99	99	94	93
ASV_567	100	100	100	100	100	100	100
ASV_568	100	100	100	100	100	100	100
ASV_569	100	100	100	100	100	100	100
ASV_570	100	47	47	47	47	47	47
ASV_571	100	67	62	55	43	43	43
ASV_572	95	86	44	44	44	37	37
ASV_573	100	100	100	100	86	83	79
ASV_574	89	86	83	83	77	69	56
ASV_575	80	80	74	74	15	11	11
ASV_576	100	100	100	100	100	100	100
ASV_577	100	100	97	90	80	54	47
ASV_578	52	52	51	51	51	51	51
ASV_579	100	100	100	100	100	100	100
ASV_580	100	100	100	100	100	100	99
ASV_581	100	100	70	70	70	70	70
ASV_582	100	100	100	100	100	97	79
ASV_583	91	84	19	19	19	19	19
ASV_584	100	100	100	100	100	100	100
ASV_585	0	0	0	0	0	0	0
ASV_586	100	100	99	99	99	99	98
ASV_587	100	100	100	100	100	100	59
ASV_588	100	100	100	100	100	100	100
ASV_589	100	98	98	98	98	98	71
ASV_590	100	100	81	81	60	60	60
ASV_591	100	100	100	100	100	100	44
ASV_592	96	95	95	95	95	59	58
ASV_593	100	100	100	73	73	65	65
ASV_594	100	100	100	100	100	100	99
ASV_595	91	91	24	23	23	23	22
ASV_596	100	100	100	100	100	100	99
ASV_597	100	100	100	100	100	100	71
ASV_598	100	100	100	100	100	100	91
ASV_599	100	100	100	100	99	99	99
ASV_600	100	100	100	100	100	100	82
ASV_601	100	39	39	38	38	38	38
ASV_602	97	1	1	1	1	1	1
ASV_603	11	11	11	11	11	11	11
ASV_604	100	100	100	100	68	68	28
ASV_605	100	60	60	30	30	30	30
ASV_606	45	45	45	45	45	45	45
ASV_607	100	100	58	58	58	58	58
ASV_608	100	24	24	15	3	3	3
ASV_609	100	100	100	100	100	100	67
ASV_610	100	100	100	100	100	100	100
ASV_611	99	99	99	99	88	88	88
ASV_612	100	100	100	98	97	47	47
ASV_613	100	100	100	100	100	100	100
ASV_614	100	100	58	58	58	57	57
ASV_615	100	100	100	100	98	94	94
ASV_616	100	100	97	97	97	90	50
ASV_617	62	50	36	36	36	31	31
ASV_618	100	100	58	58	58	58	58
ASV_619	100	100	100	100	100	100	100
ASV_620	100	100	100	100	100	100	71
ASV_621	85	85	84	84	84	84	84
ASV_622	100	100	100	100	100	100	61
ASV_623	48	48	48	48	48	48	48
ASV_624	95	94	67	50	26	23	14
ASV_625	100	100	88	88	63	63	28
ASV_626	100	100	100	98	98	98	97
ASV_627	2	2	2	2	2	2	2
ASV_628	100	100	100	100	100	100	100
ASV_629	100	100	100	100	100	100	100
ASV_630	39	35	28	13	13	13	13
ASV_631	100	100	100	100	100	100	93
ASV_632	100	100	100	100	90	90	89
ASV_633	100	100	100	100	100	100	100
ASV_634	100	100	100	100	100	89	89
ASV_635	99	99	99	99	99	57	57
ASV_636	100	100	100	100	100	91	57
ASV_637	100	100	100	34	34	34	34
ASV_638	97	96	96	96	96	93	45
ASV_639	100	100	100	100	100	100	100
ASV_640	100	100	100	100	100	99	96
ASV_641	82	79	39	27	11	11	4
ASV_642	99	99	99	97	96	67	67
ASV_643	100	66	66	39	39	39	39
ASV_644	59	56	12	5	0	0	0
ASV_645	100	100	60	60	30	30	30
ASV_646	100	100	100	100	100	100	100
ASV_647	100	99	92	92	92	70	15
ASV_648	100	100	100	100	100	100	100
ASV_649	100	15	13	13	13	13	13
ASV_650	100	100	100	100	61	35	35
ASV_651	70	63	15	9	0	0	0
ASV_652	100	100	100	100	100	66	28
ASV_653	99	99	99	99	62	62	34
ASV_654	96	76	76	76	32	32	32
ASV_655	100	100	100	100	100	100	100
ASV_656	100	100	100	100	100	100	99
ASV_657	97	97	95	93	90	34	34
ASV_658	93	52	52	52	52	30	30
ASV_659	100	100	100	100	100	100	92
ASV_660	100	100	100	100	100	100	100
ASV_661	100	100	100	100	100	100	44
ASV_662	100	100	47	47	47	47	47
ASV_663	100	100	100	100	100	100	98
ASV_664	100	100	100	100	100	100	100
ASV_665	100	100	100	100	100	98	98
ASV_666	100	100	100	100	100	100	100
ASV_667	100	100	62	62	62	62	62
ASV_668	100	100	100	100	90	90	90
ASV_669	100	100	100	100	100	100	76
ASV_670	100	100	100	100	100	100	96
ASV_671	100	100	100	100	100	100	99
ASV_672	96	96	96	96	40	24	24
ASV_673	100	100	100	100	100	100	99
ASV_674	100	100	100	100	100	100	100
ASV_675	100	100	100	100	100	100	100
ASV_676	100	100	100	100	100	100	100
ASV_677	100	18	18	18	18	18	18
ASV_678	65	63	47	40	40	40	40
ASV_679	100	100	100	100	100	100	100
ASV_680	100	100	100	88	88	77	33
ASV_681	77	69	53	36	18	15	15
ASV_682	100	100	100	100	100	100	98
ASV_683	100	100	100	100	100	100	65
ASV_684	100	100	100	100	100	100	98
ASV_685	100	100	100	100	100	100	100
ASV_686	66	55	31	31	31	31	21
ASV_687	99	75	71	70	16	16	16
ASV_688	100	100	100	100	100	100	100
ASV_689	100	100	98	98	98	76	21
ASV_690	100	100	100	100	98	98	98
ASV_691	98	98	92	87	87	87	39
ASV_692	100	100	100	100	100	100	53
ASV_693	100	100	100	100	100	100	100
ASV_694	72	64	49	49	49	49	38
ASV_695	100	100	100	98	98	96	20
