"taxon","F_stat","r2_lure","p_perm","q_value"
"ASV_709",0.327519993312927,0.00973495550619476,0.211,0.982973967684022
"ASV_710",0.499919878213979,0.0163698625791908,0.422,0.982973967684022
"ASV_711",2.82493427241449,0.0831044535113195,0.438,0.982973967684022
"ASV_713",0.598226271672636,0.0179476980441917,0.06,0.982973967684022
"ASV_716",1.11422709265111,0.0347332377641785,0.392,0.982973967684022
"ASV_717",5.08328901182774,0.142160666250408,0.411,0.982973967684022
"ASV_723",1.29540387347491,0.0390320661030116,0.325,0.982973967684022
"ASV_729",1.18641547681854,0.0370597124269455,0.277,0.982973967684022
"ASV_730",5.37185845297019,0.148780193357584,0.028,0.982973967684022
"ASV_731",3.67178225688801,0.106715737716295,0.168,0.982973967684022
"ASV_736",5.08015222477893,0.140675790847079,0.105,0.982973967684022
"ASV_745",2.75758753694473,0.0833466986239563,0.162,0.982973967684022
"ASV_746",0.277377218614419,0.00892524570850039,0.315,0.982973967684022
"ASV_747",2.72708783020327,0.0812878435531337,0.194,0.982973967684022
"ASV_748",1.2318151758402,0.0383988074119007,0.116,0.982973967684022
"ASV_749",1.01530283035896,0.0310650865497696,0.379,0.982973967684022
"ASV_751",0.668965433218884,0.0211384711647781,0.44,0.982973967684022
"ASV_757",2.32383209227176,0.069612076406628,0.163,0.982973967684022
"ASV_758",1.34884263538396,0.041724200175498,0.393,0.982973967684022
"ASV_759",7.97461337533888,0.205899081980467,0.081,0.982973967684022
"ASV_762",1.61606107822008,0.0488397880439671,0.19,0.982973967684022
"ASV_764",0.694327989476576,0.0219369637289363,0.381,0.982973967684022
"ASV_768",0.567693244846636,0.0163289283511568,0.477,0.982973967684022
"ASV_771",0.349880711476394,0.0109652133747585,0.312,0.982973967684022
"ASV_773",0.928863263349884,0.0288421249605633,0.006,0.982973967684022
"ASV_776",4.87431120026706,0.131474978267035,0.211,0.982973967684022
"ASV_778",0.49176684753526,0.0163510697500422,0.472,0.982973967684022
"ASV_779",15.1036158430191,0.328112137796341,0.064,0.982973967684022
"ASV_780",2.11589449081472,0.0648728863770025,0.218,0.982973967684022
"ASV_781",2.154280693217,0.0648814725500837,0.26,0.982973967684022
"ASV_786",2.17727154094452,0.0651102020236224,0.39,0.982973967684022
"ASV_788",0.82500129621496,0.0262910838693632,0.335,0.982973967684022
"ASV_789",2.27110329809427,0.0671184189646249,0.245,0.982973967684022
"ASV_790",1.04221556689733,0.031676097198923,0.166,0.982973967684022
"ASV_791",0.778644552320562,0.0244792686958033,0.341,0.982973967684022
"ASV_792",2.16243772636394,0.0672714758001241,0.008,0.982973967684022
"ASV_796",1.00446701502222,0.0314388273424199,0.464,0.982973967684022
"ASV_798",1.09564080608649,0.0333662387941325,0.052,0.982973967684022
"ASV_799",1.54910682251364,0.0474331690478051,0.208,0.982973967684022
"ASV_800",0.842349168935753,0.0257842715123394,0.425,0.982973967684022
"ASV_802",6.29252014976351,0.168410030979276,0.084,0.982973967684022
"ASV_804",1.1868288174054,0.0352768790241523,0.121,0.982973967684022
"ASV_806",0.868364209931387,0.0268457545171402,0.312,0.982973967684022
"ASV_807",1.26340412815781,0.0390470090941828,0.278,0.982973967684022
"ASV_808",4.97326684696703,0.13818339461844,0.476,0.982973967684022
"ASV_816",0.391854270093882,0.0130718419117383,0.158,0.982973967684022
"ASV_824",0.885536602064802,0.027650155534782,0.471,0.982973967684022
"ASV_828",0.838094228381966,0.0256513875224302,0.354,0.982973967684022
"ASV_832",4.92358746138274,0.137096429370335,0.118,0.982973967684022
"ASV_834",1.00821524673479,0.0313719097823108,0.289,0.982973967684022
"ASV_836",1.82882200820775,0.0557453855838284,0.371,0.982973967684022
"ASV_840",0.577386214313507,0.0180734525763183,0.065,0.982973967684022
