	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16690	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Schizophyllaceae	g__Schizophyllum	s__commune
ASV_16691	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Lipomycetaceae	g__Myxozyma	NA
ASV_16692	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	NA
ASV_16693	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Umbilicariales	f__Umbilicariaceae	g__Fulgidea	s__sierrae
ASV_16694	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	NA	NA
ASV_16695	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Testudinaceae	g__Testudinaceae_gen_Incertae_sedis	NA
ASV_16696	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16697	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Chionosphaeraceae	g__Mycogloea	s__nipponica
ASV_16698	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Phaeomoniellales	f__Phaeomoniellaceae	g__Nothophaeomoniella	s__ekebergiae
ASV_16699	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	s__calabrum
ASV_16700	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	NA	NA
ASV_16701	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	g__Irpex	s__lacteus
ASV_16702	NA	NA	NA	NA	NA	NA	NA
ASV_16703	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__asperus
ASV_16704	k__Metazoa	p__Annelida	c__Clitellata	o__Enchytraeida	f__Enchytraeidae	g__Enchytraeus	s__krumbachi
ASV_16705	NA	NA	NA	NA	NA	NA	NA
ASV_16706	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Arachnopeziza	NA
ASV_16707	NA	NA	NA	NA	NA	NA	NA
ASV_16708	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Schizophyllaceae	g__Schizophyllum	s__commune
ASV_16709	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
ASV_16710	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
ASV_16711	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricomycetes_ord_Incertae_sedis	f__Xenasmataceae	g__Xenasma	s__praeteritum
ASV_16712	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Microstromatales	f__Microstromatales_fam_Incertae_sedis	g__Pseudomicrostroma	s__phylloplanum
ASV_16713	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Cyberlindnera	s__amylophila
