"taxon","in_top3axes_CoCA","in_PCoA1_date","in_PCoA3_lure","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_525",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Amylocorticiales","f__Amylocorticiaceae","g__Plicaturopsis","s__crispa"
"ASV_527",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare"
"ASV_529",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_530",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__rubra"
"ASV_531",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma"
"ASV_548",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Peterozyma","s__xylosa"
"ASV_550",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Cryphonectriaceae","g__Cryphonectriaceae_gen_Incertae_sedis",NA
"ASV_551",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_553",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Scoliciosporaceae","g__Scoliciosporum","s__chlorococcum"
"ASV_558",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA
"ASV_559",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_560",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA
"ASV_562",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae",NA,NA
"ASV_575",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_582",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__ontariensis"
"ASV_585",FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_586",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__populina"
"ASV_587",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA
"ASV_589",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma"
"ASV_599",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA
"ASV_601",FALSE,TRUE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_605",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_607",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","s__tridentina"
"ASV_608",FALSE,TRUE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_616",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola"
"ASV_617",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_624",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_629",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Buckleyzymaceae","g__Buckleyzyma","s__aurantiaca"
"ASV_644",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_649",FALSE,TRUE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_654",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_655",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__encephala"
"ASV_657",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae",NA,NA
"ASV_665",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Piptoporus","s__betulinus"
"ASV_667",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Nectria","s__cinnabarina"
"ASV_669",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__ontariensis"
"ASV_676",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Bullera","s__alba"
"ASV_678",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_680",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA
"ASV_683",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
