"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"species","Conophthorus coniperda","Ophiostoma pallidulum",69,4,7,1,3,6,59,0.1,0.105010838752709,0.0874000553247495,-0.0573322148835053,0.7265,0.764,1,1,0.354720237454902,0.874665949753501,"avoiding",FALSE
"species","Conophthorus coniperda","Raffaelea arxii",69,4,9,1,3,8,57,0.0833333333333333,0.0258045689511424,0.0385389149127648,1.49274478828506,0.31,1,0.62,1,0.435934718409811,0.97192002793007,"co-occurring",FALSE
"species","Conophthorus coniperda","Grosmannia francke-grosmanniae",69,4,13,1,3,12,53,0.0625,0.0193534267133567,0.0289041861845732,1.49274478828508,0.31,1,0.62,1,0.575142191854029,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Ceratocystiopsis synnemata",69,4,5,0,4,5,60,0,0.0250750375187594,0.0500687152664671,-0.500812481113393,1,0.7995,1,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Grosmannia cucullata",69,4,4,0,4,4,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Leptographium gracile",69,4,13,0,4,13,52,0,0.0653692917887521,0.0525681068745909,-1.24351618643411,1,0.273,0.546,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma karelicum",69,4,3,0,4,3,62,0,0.0260130065032515,0.0605033537919092,-0.429943215920208,1,0.844,1,1,1,1,"avoiding",FALSE
"species","Conophthorus coniperda","Ophiostoma sparsiannulatum",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Ophiostoma undulatum",69,4,6,0,4,6,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Raffaelea crossotarsi",69,4,3,0,4,3,62,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Conophthorus coniperda","Raffaelea subfusca",69,4,3,0,4,3,62,0,0.0334333833583457,0.0667582870219548,-0.5008124811134,1,0.7995,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ceratocystiopsis manitobensis",69,7,14,5,2,9,53,0.3125,0.103929867410487,0.0626408534122352,3.32961831182163,0.0095,1,0.019,0.523076923076923,0.00291183150742451,0.0990022712524334,"co-occurring",FALSE
"species","Corthylus columbianus","Ophiostoma adjuncti",69,7,7,2,5,5,57,0.166666666666667,0.0834052224247316,0.0717251590195887,1.16084014842261,0.257,0.956,0.514,1,0.145314545282814,0.609757536428529,"co-occurring",FALSE
"species","Corthylus columbianus","Leptographium lundbergii",69,7,7,1,6,6,56,0.0769230769230769,0.0847195159351232,0.0673269381008566,-0.115799696703377,0.746,0.7315,1,1,0.544167757484168,1,"avoiding",FALSE
"species","Corthylus columbianus","Leptographium gracile",69,7,13,1,6,12,50,0.0526315789473684,0.104110405736066,0.0594069672243468,-0.866545275645711,0.922,0.374,0.748,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ceratocystiopsis rollhanseniana",69,7,3,0,7,3,59,0,0.059313386852157,0.0787908214450031,-0.752795639953551,1,0.571,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ceratocystiopsis synnemata",69,7,5,0,7,5,57,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Corthylus columbianus","Grosmannia cucullata",69,7,4,0,7,4,58,0,0.0159079539769886,0.0365841760013753,-0.434831550569584,1,0.841,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Grosmannia francke-grosmanniae",69,7,13,0,7,13,49,0,0.0550799135377812,0.0494361102051692,-1.11416358020866,1,0.3255,0.651,1,0.332619193037371,0.845400795757707,"avoiding",FALSE
"species","Corthylus columbianus","Grosmannia olivacea",69,7,5,0,7,5,57,0,0.0638910364273054,0.0762816790889587,-0.83756725324303,1,0.487,0.974,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma denticiliatum",69,7,5,0,7,5,57,0,0.0634271681295202,0.0747953105240267,-0.84800995791234,1,0.4815,0.963,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma denticulatum",69,7,6,0,7,6,56,0,0.0878189094547287,0.0717237871662449,-1.22440424473373,1,0.273,0.546,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma karelicum",69,7,3,0,7,3,59,0,0.0369768217442059,0.060528359874442,-0.610900771488098,1,0.7005,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma pallidulum",69,7,7,0,7,7,55,0,0.0807142498988419,0.0747366145861305,-1.07998268781392,1,0.3135,0.627,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma sparsiannulatum",69,7,3,0,7,3,59,0,0.037741092768607,0.0606146190797924,-0.622640104673842,1,0.693,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Ophiostoma undulatum",69,7,6,0,7,6,56,0,0.0445578850031076,0.0597650233941637,-0.745551201565477,1,0.5795,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Raffaelea arxii",69,7,9,0,7,9,53,0,0.0584347118614246,0.054847030935653,-1.06541249115163,1,0.3655,0.731,1,0.582374743438033,1,"avoiding",FALSE
"species","Corthylus columbianus","Raffaelea crossotarsi",69,7,3,0,7,3,59,0,0.036740592518482,0.0522856050460887,-0.702690396067826,1,0.6695,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Raffaelea subfusca",69,7,3,0,7,3,59,0,0.0398254682897009,0.06203513051089,-0.641982501877863,1,0.678,1,1,1,1,"avoiding",FALSE
"species","Corthylus columbianus","Sporothrix eucastaneae",69,7,10,0,7,10,52,0,0.0636761833297607,0.0536196774150925,-1.18755252548083,1,0.297,0.594,1,0.582374743438033,1,"avoiding",FALSE
"species","Corthylus columbianus","Sporothrix rossii",69,7,16,0,7,16,46,0,0.08899494846803,0.0521781801467284,-1.7055970180978,1,0.06,0.12,1,0.18837138418579,0.656884826904295,"avoiding",FALSE
"species","Crypturgus alutaceus","Ceratocystiopsis manitobensis",69,5,14,2,3,12,52,0.117647058823529,0.117948043816493,0.0662138366339488,-0.00454565100385187,0.667,0.7175,1,1,0.265602931633393,0.804433240708387,"avoiding",FALSE
"species","Crypturgus alutaceus","Ophiostoma adjuncti",69,5,7,1,4,6,58,0.0909090909090909,0.0854791031879584,0.0689633749162277,0.0787372678284454,0.7045,0.8035,1,1,0.424211904190528,0.955179122018407,"co-occurring",FALSE
"species","Crypturgus alutaceus","Leptographium gracile",69,5,13,1,4,12,52,0.0588235294117647,0.0193920489656594,0.0276593548534749,1.42561099689393,0.33,1,0.66,1,1,1,"co-occurring",FALSE
"species","Crypturgus alutaceus","Sporothrix rossii",69,5,16,1,4,15,49,0.05,0.0595797898949469,0.0321432462421306,-0.298034300044981,0.887,0.7245,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ceratocystiopsis rollhanseniana",69,5,3,0,5,3,61,0,0.0750613401939058,0.0940275082295384,-0.798291283128202,1,0.5535,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ceratocystiopsis synnemata",69,5,5,0,5,5,59,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Crypturgus alutaceus","Grosmannia cucullata",69,5,4,0,5,4,60,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Crypturgus alutaceus","Grosmannia francke-grosmanniae",69,5,13,0,5,13,51,0,0.0527660889268176,0.0444418993504589,-1.18730499141623,1,0.306,0.612,1,0.575142191854029,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Grosmannia olivacea",69,5,5,0,5,5,59,0,0.0558056806180876,0.0699661691986358,-0.797609491233596,1,0.563,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Leptographium lundbergii",69,5,7,0,5,7,57,0,0.0629314657328675,0.0661168419364158,-0.95182201523461,1,0.4515,0.903,1,1,1,"avoiding",FALSE
