"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"genus","Crypturgus alutaceus","Grosmannia",69,5,18,0,5,18,46,0,0.04847878484697,0.0366345123097075,-1.32330913639934,1,0.2445,0.489,1,0.316241837332039,0.747443074692127,"avoiding",FALSE
"genus","Crypturgus alutaceus","Raffaelea",69,5,10,0,5,10,54,0,0.0644869137865634,0.0548297197164027,-1.17613064812497,1,0.306,0.612,1,1,1,"avoiding",FALSE
"genus","Crypturgus alutaceus","Ophiostomatales (unclassified genus)",69,5,7,0,5,7,57,0,0.0164627768429669,0.0350172309754732,-0.470133599498424,1,0.819,1,1,1,1,"avoiding",FALSE
"genus","Cyclorhipidion bodoanum","Any Ophiostomatales",69,8,44,6,2,38,23,0.130434782608696,0.0990093700378837,0.0241363583983989,1.30199477701228,0.203,0.968,0.406,1,0.701269839195014,0.953726981305219,"co-occurring",FALSE
"genus","Cyclorhipidion bodoanum","Ophiostoma",69,8,23,3,5,20,41,0.107142857142857,0.0952522484559189,0.039859355507761,0.29831412313285,0.5525,0.7995,1,1,1,1,"co-occurring",FALSE
"genus","Cyclorhipidion bodoanum","Sporothrix",69,8,34,4,4,30,31,0.105263157894737,0.0772265838807783,0.0278430775391583,1.00694953618285,0.3005,0.942,0.601,1,1,1,"co-occurring",FALSE
"genus","Cyclorhipidion bodoanum","Graphilbum",69,8,20,2,6,18,43,0.0769230769230769,0.0778512903175243,0.0366004157809795,-0.0253607336048279,0.708,0.7105,1,1,1,1,"avoiding",FALSE
"genus","Cyclorhipidion bodoanum","Ceratocystiopsis",69,8,21,2,6,19,42,0.0740740740740741,0.0367604946144219,0.0287259822306071,1.29894877606292,0.2505,0.976,0.501,1,1,1,"co-occurring",FALSE
"genus","Cyclorhipidion bodoanum","Hawksworthiomyces",69,8,10,1,7,9,52,0.0588235294117647,0.0189212253185417,0.0274841475144895,1.45182978923348,0.322,1,0.644,1,1,1,"co-occurring",FALSE
"genus","Cyclorhipidion bodoanum","Grosmannia",69,8,18,1,7,17,44,0.04,0.0706204881096679,0.0381179578594174,-0.803308724528191,0.9195,0.4085,0.817,1,0.670458333193047,0.953726981305219,"avoiding",FALSE
"genus","Cyclorhipidion bodoanum","Leptographium",69,8,20,1,7,19,42,0.037037037037037,0.0379857735135382,0.0288780422835745,-0.0328532130808872,0.745,0.7605,1,1,0.4222568240524,0.822638409336459,"avoiding",FALSE
"genus","Cyclorhipidion bodoanum","Raffaelea",69,8,10,0,8,10,51,0,0.0618198805285008,0.0482799947102122,-1.28044505596072,1,0.2605,0.521,1,0.591997445202134,0.935391966058339,"avoiding",FALSE
"genus","Cyclorhipidion bodoanum","Ophiostomatales (unclassified genus)",69,8,7,0,8,7,54,0,0,0,NA,1,1,1,1,0.58828055514699,0.935391966058339,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Grosmannia",69,13,18,9,4,9,47,0.409090909090909,0.163147936930146,0.055415325650815,4.4381760690266,5e-04,1,0.001,0.113333333333333,0.00033900839734151,0.0107420339032139,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Sporothrix",69,13,34,11,2,23,33,0.305555555555556,0.1764319221169,0.0409051725954892,3.15665783189714,0.0035,1,0.007,0.158666666666667,0.00569707530869645,0.0913551019925604,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Raffaelea",69,13,10,5,8,5,51,0.277777777777778,0.113396375031142,0.0546639545646464,3.00712606791438,0.009,1,0.018,0.266086956521739,0.0164571430434337,0.169558443477802,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Any Ophiostomatales",69,13,44,12,1,32,24,0.266666666666667,0.183941794461205,0.0340323782485314,2.43076965122271,0.018,0.9995,0.036,0.408,0.0233956813255396,0.183002393876191,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Ophiostomatales (unclassified genus)",69,13,7,4,9,3,53,0.25,0.103015603088784,0.0517334333213958,2.84118774793218,0.0275,0.9985,0.055,0.445238095238095,0.0202981257395885,0.183002393876191,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Ophiostoma",69,13,23,7,6,16,40,0.241379310344828,0.16778695781435,0.0544458668761417,1.35166095707305,0.156,0.9505,0.312,1,0.106526632068099,0.447148825964861,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Graphilbum",69,13,20,5,8,15,41,0.178571428571429,0.113323624158145,0.0453339382964824,1.43927059649142,0.1595,0.9715,0.319,1,0.500083321876829,0.904406007649585,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Leptographium",69,13,20,5,8,15,41,0.178571428571429,0.106095283669077,0.0406908918059296,1.78113925956743,0.1005,0.99,0.201,0.936164383561644,0.500083321876829,0.904406007649585,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Hawksworthiomyces",69,13,10,3,10,7,49,0.15,0.106150198589842,0.0488377753308096,0.897866479648906,0.347,0.935,0.694,1,0.384511309248254,0.822638409336459,"co-occurring",FALSE
"genus","Cyclorhipidion pelliculosum","Ceratocystiopsis",69,13,21,2,11,19,37,0.0625,0.0686617247259149,0.0352027811962309,-0.175035168146732,0.7305,0.6225,1,1,0.31656412575196,0.747443074692127,"avoiding",FALSE
"genus","Dendroctonus valens","Leptographium",69,14,20,11,3,9,46,0.478260869565217,0.31833146131419,0.0671301699266584,2.38237752750746,0.0345,0.9955,0.069,0.506382978723404,2.09987702950972e-05,0.00244685390036873,"co-occurring",TRUE
"genus","Dendroctonus valens","Grosmannia",69,14,18,8,6,10,45,0.333333333333333,0.171938521069234,0.0533883266574204,3.02303560288993,0.0105,0.9995,0.021,0.2856,0.00591121248187156,0.0913551019925604,"co-occurring",TRUE
"genus","Dendroctonus valens","Ophiostoma",69,14,23,9,5,14,41,0.321428571428571,0.207510330269179,0.0514302859041343,2.21500306982028,0.0385,0.9925,0.077,0.5304,0.0101467354992249,0.143745419572352,"co-occurring",TRUE
"genus","Dendroctonus valens","Sporothrix",69,14,34,11,3,23,32,0.297297297297297,0.221423709312453,0.0389391849335365,1.94851505275082,0.073,0.994,0.146,0.800645161290322,0.0178088051732819,0.178088051732819,"co-occurring",TRUE
"genus","Dendroctonus valens","Any Ophiostomatales",69,14,44,13,1,31,24,0.288888888888889,0.221827250760689,0.029910069232139,2.24210909067842,0.039,0.9975,0.078,0.5304,0.0124238721073794,0.151229493992363,"co-occurring",TRUE
"genus","Dendroctonus valens","Raffaelea",69,14,10,5,9,5,50,0.263157894736842,0.0845158054078301,0.047416960073157,3.76747242027737,0.0015,1,0.003,0.136,0.0237720746622119,0.183002393876191,"co-occurring",TRUE
"genus","Dendroctonus valens","Graphilbum",69,14,20,7,7,13,42,0.259259259259259,0.188593068563348,0.0498973879715268,1.41623025911167,0.1575,0.968,0.315,1,0.095149580971838,0.420141006888635,"co-occurring",TRUE
"genus","Dendroctonus valens","Ophiostomatales (unclassified genus)",69,14,7,4,10,3,52,0.235294117647059,0.108364915171725,0.0568800440953481,2.23152433325406,0.0525,1,0.105,0.661111111111111,0.0272526434324541,0.197146782277327,"co-occurring",TRUE
"genus","Dendroctonus valens","Ceratocystiopsis",69,14,21,6,8,15,40,0.206896551724138,0.208759493038966,0.0509591446594463,-0.0365575467813961,0.6555,0.6645,1,1,0.331673767971503,0.767136606192592,"avoiding",TRUE
"genus","Dendroctonus valens","Hawksworthiomyces",69,14,10,3,11,7,48,0.142857142857143,0.093945504655207,0.0462270545354388,1.05807386374658,0.31,0.956,0.62,1,0.412361476250596,0.822638409336459,"co-occurring",TRUE
"genus","Dryocoetes affaber","Grosmannia",69,5,18,4,1,14,50,0.210526315789474,0.114958852176148,0.0467738986591677,2.04317934473898,0.081,1,0.162,0.822089552238806,0.0146485571534241,0.166110856768257,"co-occurring",FALSE
"genus","Dryocoetes affaber","Ophiostomatales (unclassified genus)",69,5,7,2,3,5,59,0.2,0.0802401200600309,0.0681597517550392,1.75704689140267,0.174,1,0.348,1,0.0767535705123979,0.372803056774504,"co-occurring",FALSE
"genus","Dryocoetes affaber","Graphilbum",69,5,20,4,1,16,48,0.19047619047619,0.155799114030947,0.0476793484757613,0.727297615295063,0.4255,0.9105,0.851,1,0.0225037778574443,0.183002393876191,"co-occurring",FALSE
"genus","Dryocoetes affaber","Leptographium",69,5,20,4,1,16,48,0.19047619047619,0.172587517172855,0.0434661377338345,0.411554240518846,0.584,0.867,1,1,0.0225037778574443,0.183002393876191,"co-occurring",FALSE
"genus","Dryocoetes affaber","Ophiostoma",69,5,23,4,1,19,45,0.166666666666667,0.136106943599385,0.0395141925264784,0.773385994078039,0.4195,0.924,0.839,1,0.0392381981495238,0.251015854770426,"co-occurring",FALSE
"genus","Dryocoetes affaber","Hawksworthiomyces",69,5,10,2,3,8,56,0.153846153846154,0.0743201270965165,0.0487910973022529,1.62992904744459,0.205,1,0.41,1,0.149563113910177,0.522096752586545,"co-occurring",FALSE
"genus","Dryocoetes affaber","Sporothrix",69,5,34,5,0,29,35,0.147058823529412,0.119755185716112,0.0223136307867309,1.22363043801623,0.334,1,0.668,1,0.0247591474067788,0.183002393876191,"co-occurring",FALSE
"genus","Dryocoetes affaber","Ceratocystiopsis",69,5,21,3,2,18,46,0.130434782608696,0.155724695587019,0.0419547638964014,-0.602790020241115,0.8885,0.511,1,1,0.160863719248267,0.522096752586545,"avoiding",FALSE
"genus","Dryocoetes affaber","Any Ophiostomatales",69,5,44,5,0,39,25,0.113636363636364,0.105118973628232,0.0117604060201595,0.724242852970473,0.656,1,1,1,0.150886331670391,0.522096752586545,"co-occurring",FALSE
"genus","Dryocoetes affaber","Raffaelea",69,5,10,1,4,9,55,0.0714285714285714,0.0358750803973411,0.035722860043768,0.995258805920631,0.5025,1,1,1,0.554533059667235,0.935391966058339,"co-occurring",FALSE
"genus","Dryocoetes autographus","Leptographium",69,14,20,5,9,15,40,0.172413793103448,0.313796155180084,0.063835283173913,-2.21479963817899,1,0.0115,0.023,0.300769230769231,0.527626940506205,0.935391966058339,"avoiding",FALSE
"genus","Dryocoetes autographus","Ophiostoma",69,14,23,5,9,18,37,0.15625,0.210999173520376,0.051635847001417,-1.06029389851732,0.943,0.261,0.522,1,1,1,"avoiding",FALSE
"genus","Dryocoetes autographus","Sporothrix",69,14,34,6,8,28,27,0.142857142857143,0.229041995483814,0.0374618617887106,-2.30060249308387,0.9985,0.019,0.038,0.412121212121212,0.766011435153338,1,"avoiding",FALSE
"genus","Dryocoetes autographus","Any Ophiostomatales",69,14,44,7,7,37,18,0.137254901960784,0.21943529341911,0.0283878215171565,-2.89491715342296,1,0.003,0.006,0.158666666666667,0.350327802290456,0.776267057164939,"avoiding",FALSE
