"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","scheme","in_block","asv_genus","asv_species","asv_lab"
"genus","Ips pini","Sporothrix",69,5,34,3,2,31,33,0.0833333333333333,0.0570653639293987,0.0306611634159636,0.856717961010518,0.345,0.913,0.69,0.919759036144578,0.673289073029501,0.806052555086811,"co-occurring","within_trap",FALSE,NA,NA,"Sporothrix"
"genus","Ips pini","Ophiostoma",69,5,23,2,3,21,43,0.0769230769230769,0.0349268651419734,0.030380219356534,1.38235380358013,0.2265,0.9775,0.453,0.682602739726027,1,1,"co-occurring","within_trap",FALSE,NA,NA,"Ophiostoma"
"genus","Ips pini","Hawksworthiomyces",69,5,10,1,4,9,55,0.0714285714285714,0.0732797717540097,0.0614558096297579,-0.0301224625725524,0.7085,0.7535,1,1,0.554533059667235,0.693166324584044,"avoiding","within_trap",FALSE,NA,NA,"Hawksworthiomyces"
"genus","Ips pini","Raffaelea",69,5,10,1,4,9,55,0.0714285714285714,0.0525482521480517,0.0508479158560975,0.371309599668787,0.591,0.8745,1,1,0.554533059667235,0.693166324584044,"co-occurring","within_trap",FALSE,NA,NA,"Raffaelea"
"genus","Ips pini","Leptographium",69,5,20,1,4,19,45,0.0416666666666667,0.0303031950757984,0.0289701008953029,0.392248257330394,0.591,0.8745,1,1,1,1,"co-occurring","within_trap",FALSE,NA,NA,"Leptographium"
"genus","Ips pini","Ophiostomatales (unclassified genus)",69,5,7,0,5,7,57,0,0,0,NA,1,1,1,1,1,1,"co-occurring","within_trap",FALSE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Pityogenes hopkinsi","Graphilbum",69,19,20,14,5,6,44,0.56,0.303720910739681,0.0653335784560276,3.92262440412331,0.001,0.9995,0.002,0.0366666666666667,1.67095737617325e-06,0.000183805311379057,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Pityogenes hopkinsi","Ophiostoma",69,19,23,13,6,10,40,0.448275862068966,0.239489295826421,0.0542886191345112,3.84586253198361,0.002,1,0.004,0.044,0.000347536390986333,0.00382290030084966,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Pityogenes hopkinsi","Leptographium",69,19,20,12,7,8,42,0.444444444444444,0.240970995261992,0.0484217990298584,4.20210428482808,0.001,1,0.002,0.0366666666666667,0.000259059405672516,0.00382290030084966,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Pityogenes hopkinsi","Sporothrix",69,19,34,16,3,18,32,0.432432432432432,0.276877242443657,0.0471900304548284,3.29635705867316,0.005,0.999,0.01,0.0647058823529412,0.000402058969674789,0.00402058969674789,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Pityogenes hopkinsi","Any Ophiostomatales",69,19,44,19,0,25,25,0.431818181818182,0.284252113711855,0.0379663887354164,3.88675544399808,5e-04,1,0.001,0.0366666666666667,4.06607353173474e-05,0.000935645502741736,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Pityogenes hopkinsi","Ceratocystiopsis",69,19,21,12,7,9,41,0.428571428571429,0.296511393596421,0.0559355062583163,2.36093393640061,0.036,0.995,0.072,0.18,0.000775971156452571,0.00711306893414857,"co-occurring","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
"genus","Pityogenes hopkinsi","Grosmannia",69,19,18,9,10,9,41,0.321428571428571,0.176774657519935,0.0489260667054134,2.95658170887935,0.009,0.9985,0.018,0.0860869565217391,0.0287037883736584,0.0853355870568224,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Pityogenes hopkinsi","Raffaelea",69,19,10,6,13,4,46,0.260869565217391,0.0901407534295714,0.0417990299385245,4.08451612486982,0.001,1,0.002,0.0366666666666667,0.021566775884163,0.0741357921018103,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Pityogenes hopkinsi","Ophiostomatales (unclassified genus)",69,19,7,4,15,3,47,0.181818181818182,0.0843729506386926,0.0396332412347654,2.45867428813802,0.0285,1,0.057,0.15675,0.084920865420541,0.19461031658874,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Pityogenes hopkinsi","Hawksworthiomyces",69,19,10,4,15,6,44,0.16,0.121448235885562,0.0440654005666427,0.874876061914686,0.341,0.921,0.682,0.919759036144578,0.445364014161838,0.59743953119271,"co-occurring","within_trap",TRUE,NA,NA,"Hawksworthiomyces"
"genus","Xyleborinus attenuatus","Grosmannia",69,24,18,13,11,5,40,0.448275862068966,0.219287055213021,0.0591688690366967,3.87008929837623,0.002,0.9995,0.004,0.044,0.000294641253513014,0.00382290030084966,"co-occurring","within_trap",TRUE,NA,NA,"Grosmannia"
"genus","Xyleborinus attenuatus","Any Ophiostomatales",69,24,44,21,3,23,22,0.446808510638298,0.312144294855392,0.0454343158797443,2.96393184700603,0.006,0.9985,0.012,0.0694736842105263,0.00348571614556371,0.0225546338830593,"co-occurring","within_trap",TRUE,NA,NA,"Any Ophiostomatales"
"genus","Xyleborinus attenuatus","Sporothrix",69,24,34,16,8,18,27,0.380952380952381,0.286892600139012,0.0537295430812136,1.75061568402313,0.0825,0.9735,0.165,0.324107142857143,0.0449472246879217,0.120590115016375,"co-occurring","within_trap",TRUE,NA,NA,"Sporothrix"
"genus","Xyleborinus attenuatus","Leptographium",69,24,20,12,12,8,37,0.375,0.236824949429064,0.0551588888833103,2.50503687380738,0.02,0.996,0.04,0.133333333333333,0.0108026010176985,0.0535993876344535,"co-occurring","within_trap",TRUE,NA,NA,"Leptographium"
"genus","Xyleborinus attenuatus","Raffaelea",69,24,10,8,16,2,43,0.307692307692308,0.124799027073551,0.0530724518695612,3.44610573237246,0.0035,1,0.007,0.0513333333333333,0.00232011746984478,0.0173385788449059,"co-occurring","within_trap",TRUE,NA,NA,"Raffaelea"
"genus","Xyleborinus attenuatus","Ophiostoma",69,24,23,11,13,12,33,0.305555555555556,0.241130162827617,0.0613806277596343,1.0496046567042,0.223,0.9045,0.446,0.681388888888889,0.118649286694861,0.241692991415458,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostoma"
"genus","Xyleborinus attenuatus","Graphilbum",69,24,20,10,14,10,35,0.294117647058824,0.193175132453586,0.0521758970041413,1.93465796279891,0.061,0.986,0.122,0.2684,0.103349548068589,0.225344798605595,"co-occurring","within_trap",TRUE,NA,NA,"Graphilbum"
"genus","Xyleborinus attenuatus","Ophiostomatales (unclassified genus)",69,24,7,7,17,0,45,0.291666666666667,0.115504446011337,0.0462084836037659,3.81233502847457,0.001,1,0.002,0.0366666666666667,0.000320794218950496,0.00382290030084966,"co-occurring","within_trap",TRUE,NA,NA,"Ophiostomatales (unclassified genus)"
"genus","Xyleborinus attenuatus","Ceratocystiopsis",69,24,21,9,15,12,33,0.25,0.184408319575557,0.0470398844361668,1.39438438700782,0.1485,0.9545,0.297,0.539846153846154,0.414892243500546,0.570476834813251,"co-occurring","within_trap",TRUE,NA,NA,"Ceratocystiopsis"
