"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Ambrosiophilus atratus","ASV_23023","Sporothrix",NA,69,4,4,0,4,4,61,0,0.024869577645966,0.0541827420250579,-0.458994445767705,1,0.826,1,1,1,1,"avoiding",FALSE
"asv","Ambrosiophilus atratus","ASV_28495","Raffaelea","subfusca",69,4,3,0,4,3,62,0,0.0688677672169423,0.0820887495839992,-0.83894282183543,1,0.587,1,1,1,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_6117","Leptographium","gracile",69,32,13,9,23,4,33,0.25,0.20101981475677,0.0446418850761448,1.09718003976951,0.229,0.9285,0.458,1,0.120644759844847,0.615288275208718,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_660","Grosmannia","francke-grosmanniae",69,32,13,8,24,5,32,0.216216216216216,0.223325435910686,0.0475392546238295,-0.149544197752446,0.679,0.5825,1,1,0.35501147372348,0.928491546661409,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_3603","Sporothrix","eucastaneae",69,32,10,7,25,3,34,0.2,0.142504464880668,0.0350811003307928,1.63893191995648,0.121,0.984,0.242,1,0.169804472396998,0.719377464700006,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_8274","Sporothrix","rossii",69,32,12,7,25,5,32,0.189189189189189,0.163084351454981,0.0380149264810678,0.686699676960016,0.399,0.87,0.798,1,0.525817133599525,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_13249","Ophiostoma","denticulatum",69,32,6,6,26,0,37,0.1875,0.0929377770846319,0.0316925726526046,2.98373451571457,0.007,1,0.014,0.767684210526316,0.00755931856821272,0.166687056520675,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_15258","Ophiostoma","pallidulum",69,32,7,6,26,1,36,0.181818181818182,0.1156808275839,0.0371499953521772,1.7802789369772,0.094,0.991,0.188,1,0.0437395053954202,0.379527521627531,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_3556","Sporothrix","rossii",69,32,9,6,26,3,34,0.171428571428571,0.134503280615074,0.0382101609790234,0.966373599780651,0.2955,0.926,0.591,1,0.285262401984564,0.893932158878959,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_7106","Ophiostoma","denticiliatum",69,32,5,5,27,0,37,0.15625,0.100096938588981,0.0324749779791529,1.72911776713341,0.1185,1,0.237,1,0.017918384754282,0.257167128782963,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_5162","Sporothrix",NA,69,32,7,5,27,2,35,0.147058823529412,0.13571543916892,0.0382986147017121,0.296182628244889,0.5475,0.7735,1,1,0.237001194019173,0.842529713859045,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_1122","Raffaelea","arxii",69,32,8,5,27,3,34,0.142857142857143,0.13907750524666,0.039076955850775,0.096722928595476,0.631,0.7085,1,1,0.457387734480532,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_7886","Grosmannia",NA,69,32,4,4,28,0,37,0.125,0.0643036281318673,0.0252205877499991,2.40662003874731,0.031,1,0.062,1,0.0415962503224403,0.379527521627531,"co-occurring",FALSE
