"taxon","t_stat","p_perm","q_value","lure_F_stat","lure_r2","lure_q_value"
"ASV_394",-1.35224511351319,0.248,0.809375,0.62931451724611,0.0207315717645467,0.984846328049175
"ASV_435",-1.0937673982407,0.243,0.809375,1.98784895385854,0.0595993897286867,0.984846328049175
"ASV_485",-1.11385691391165,0.252,0.809375,1.94002029565184,0.0589890852166284,0.984846328049175
"ASV_81",-1.28411894668664,0.267,0.821538461538462,1.07455934507094,0.0306304547311641,0.984846328049175
"ASV_161",0.974971966212255,0.29,0.865671641791045,5.91392114267875,0.161128253935275,0.984846328049175
"ASV_497",-1.38368626246572,0.287,0.865671641791045,4.21147266104524,0.119602006897588,0.984846328049175
"ASV_19",-1.13432698801369,0.438,0.883333333333333,5.5747492368949,0.152857453721342,0.984846328049175
"ASV_21",0.777792274920248,0.405,0.883333333333333,1.67165038704596,0.0516039310001197,0.984846328049175
"ASV_35",1.03065373964228,0.35,0.883333333333333,1.68010327013327,0.0509057358511067,0.984846328049175
"ASV_42",0.8936746459008,0.467,0.883333333333333,0.567949892670318,0.0184232099780126,0.984846328049175
"ASV_73",-1.02447930326401,0.377,0.883333333333333,3.15276587081602,0.0913099094295986,0.984846328049175
"ASV_77",0.909328410939852,0.393,0.883333333333333,0.78645871637099,0.0246722482697603,0.984846328049175
"ASV_85",-0.891341070761525,0.418,0.883333333333333,1.97428541979996,0.0576992920407403,0.984846328049175
"ASV_92",-0.777945344142052,0.419,0.883333333333333,1.55074219483373,0.0475460730146874,0.984846328049175
"ASV_98",0.864143427175687,0.396,0.883333333333333,1.0300108984685,0.0314695318545616,0.984846328049175
"ASV_103",0.679665938895739,0.459,0.883333333333333,1.53501924062106,0.0462553602926672,0.984846328049175
"ASV_109",-0.948824060379594,0.323,0.883333333333333,2.52193758814783,0.0777944932135098,0.984846328049175
"ASV_125",-0.759962255200305,0.426,0.883333333333333,0.626284584048283,0.019392513588989,0.984846328049175
"ASV_136",1.17431129684484,0.326,0.883333333333333,0.816079656884021,0.0253241022125932,0.984846328049175
"ASV_144",-0.817273799209477,0.345,0.883333333333333,1.96584362007176,0.0597296422509428,0.984846328049175
"ASV_157",-0.602588317305267,0.477,0.883333333333333,4.26963218765919,0.121037821297854,0.984846328049175
"ASV_171",0.974167064032247,0.38,0.883333333333333,1.15753042710674,0.0359232484745203,0.984846328049175
"ASV_189",0.65874139610621,0.465,0.883333333333333,0.513886187360667,0.0153828524493353,0.984846328049175
"ASV_203",0.84245366165205,0.346,0.883333333333333,17.3420589091844,0.359290934914366,0.984846328049175
"ASV_209",-1.06729653880905,0.352,0.883333333333333,1.7065505721108,0.0518327680769112,0.984846328049175
"ASV_229",0.84314452923641,0.373,0.883333333333333,1.61200869577461,0.0494272076215603,0.984846328049175
"ASV_247",-0.858093480566135,0.4,0.883333333333333,2.01552946515768,0.0615027404588951,0.984846328049175
"ASV_256",0.63444317315184,0.461,0.883333333333333,1.51921800658066,0.0478741924800205,0.984846328049175
"ASV_281",-0.771111889750325,0.389,0.883333333333333,2.40676205594674,0.0705284777401211,0.984846328049175
"ASV_292",-0.768017006122914,0.402,0.883333333333333,8.11564636774488,0.204894736815717,0.984846328049175
"ASV_294",-0.768204950978501,0.423,0.883333333333333,1.61947113316825,0.0495483718141359,0.984846328049175
"ASV_298",0.951804761133229,0.469,0.883333333333333,1.43850845691096,0.0450800805411934,0.984846328049175
"ASV_311",-0.9792400767266,0.383,0.883333333333333,0.357526308000636,0.0122215373302054,0.984846328049175
"ASV_312",0.714836142030483,0.477,0.883333333333333,5.1254356065427,0.140502870587591,0.984846328049175
"ASV_316",1.02814863017988,0.317,0.883333333333333,1.07253004061182,0.0338396465679241,0.984846328049175
"ASV_330",-0.890224496535952,0.45,0.883333333333333,1.87812345486977,0.0575820373205062,0.984846328049175
"ASV_349",-0.820214982069532,0.459,0.883333333333333,1.41892125472868,0.0437689215183719,0.984846328049175
"ASV_358",-0.591597206891923,0.457,0.883333333333333,1.33834018430368,0.0414346892455984,0.984846328049175
"ASV_387",0.699302735456523,0.442,0.883333333333333,1.60147353676527,0.0497471383368696,0.984846328049175
"ASV_392",-0.884155790408675,0.343,0.883333333333333,5.38524825724836,0.145277858051669,0.984846328049175
"ASV_408",-1.07400726411442,0.308,0.883333333333333,0.731008977116108,0.0229202451435843,0.984846328049175
"ASV_429",-0.840214708639151,0.459,0.883333333333333,1.59619644522466,0.0495185310227107,0.984846328049175
"ASV_471",-1.3119747214885,0.342,0.883333333333333,2.57356341649806,0.0768618250882504,0.984846328049175
"ASV_517",-0.868286595653868,0.38,0.883333333333333,0.558586021164458,0.0171081019610119,0.984846328049175
"ASV_520",0.68665217059228,0.45,0.883333333333333,7.03438133119804,0.183780603233603,0.984846328049175
"ASV_530",1.06496360315833,0.321,0.883333333333333,2.24559032099062,0.0660491613197364,0.984846328049175
"ASV_531",-0.856041306370258,0.435,0.883333333333333,0.992904065963622,0.0309673785666095,0.984846328049175
"ASV_11",0.804087513475155,0.525,0.885483870967742,0.641170635757638,0.0197239173262245,0.984846328049175
"ASV_31",0.636085909446897,0.503,0.885483870967742,2.46221187263244,0.0717036637190246,0.984846328049175
"ASV_32",-0.758587227277441,0.528,0.885483870967742,2.7597594728147,0.081034704669584,0.984846328049175
"ASV_76",0.740411339722423,0.549,0.885483870967742,0.593973658841709,0.0193281303616603,0.984846328049175
"ASV_108",-0.60105029288837,0.537,0.885483870967742,0.32392739590745,0.0103431563064027,0.984846328049175
"ASV_148",0.682493720235296,0.519,0.885483870967742,0.466164466900984,0.0159230279453025,0.984846328049175
"ASV_210",-0.870883263873765,0.515,0.885483870967742,4.31976222644328,0.123215010253689,0.984846328049175
"ASV_231",0.662948602375868,0.543,0.885483870967742,0.933992218203994,0.0284153090852827,0.984846328049175
"ASV_238",-0.640176584790431,0.52,0.885483870967742,0.767113204412805,0.0239432751603056,0.984846328049175
"ASV_262",0.550637542514628,0.507,0.885483870967742,1.59166301083861,0.048378437614138,0.984846328049175
"ASV_270",0.72574229441567,0.53,0.885483870967742,0.640163279121311,0.0192050851093911,0.984846328049175
"ASV_306",0.641039136648976,0.541,0.885483870967742,6.15346675970161,0.166832321786379,0.984846328049175
"ASV_309",0.741656896841573,0.519,0.885483870967742,2.12655293052015,0.0630153099602795,0.984846328049175
"ASV_398",0.639626335702866,0.495,0.885483870967742,2.34589277521335,0.0702207539292906,0.984846328049175
"ASV_461",-0.828864382656692,0.516,0.885483870967742,4.2538571440219,0.120478503446374,0.984846328049175
"ASV_538",0.51125336496186,0.546,0.885483870967742,3.82446821862747,0.109551462413947,0.984846328049175
"ASV_82",-0.586546698751836,0.558,0.885714285714286,0.529310681988107,0.0170829422881702,0.984846328049175
"ASV_276",0.645555263286873,0.554,0.885714285714286,3.36891331997246,0.0973306688046015,0.984846328049175
"ASV_511",-0.56744447496265,0.566,0.891338582677165,4.11199705480136,0.115252818873305,0.984846328049175
"ASV_245",0.596199987620404,0.575,0.894573643410853,0.824283209175846,0.0265878716854033,0.984846328049175
"ASV_264",0.655138809434692,0.577,0.894573643410853,2.37459545265532,0.0718834112655448,0.984846328049175
"ASV_307",-0.59885847357878,0.587,0.899236641221374,1.09955753751125,0.0341709917765847,0.984846328049175
"ASV_401",0.610571652179044,0.589,0.899236641221374,0.271019915901483,0.00852241795692822,0.984846328049175
"ASV_534",0.506474771287298,0.594,0.9,0.734237835694589,0.0221869580909194,0.984846328049175
"ASV_412",-0.518139250369356,0.606,0.911278195488722,3.49708200431383,0.101375575401875,0.984846328049175
"ASV_172",-0.496462336248051,0.616,0.919402985074627,0.941371587056793,0.0293895547372775,0.984846328049175
"ASV_146",-0.494530414270405,0.631,0.934814814814815,0.306599254173738,0.00971991422387945,0.984846328049175
"ASV_68",-0.417034392750066,0.645,0.939568345323741,0.462849447082469,0.0148586733060828,0.984846328049175
"ASV_71",0.54025966381019,0.652,0.939568345323741,0.333316689822904,0.0101228284870406,0.984846328049175
"ASV_439",-0.441956618976129,0.653,0.939568345323741,6.2537830772491,0.167835458261245,0.984846328049175
"ASV_518",-0.61177120646585,0.651,0.939568345323741,1.93836350584712,0.059097175747816,0.984846328049175
"ASV_118",-0.691282602936979,0.663,0.940425531914894,1.81926834009809,0.0555847062710036,0.984846328049175
"ASV_194",0.440823743592329,0.661,0.940425531914894,0.511429673382013,0.0162209823291353,0.984846328049175
"ASV_426",0.399757996448261,0.675,0.950704225352113,0.783841119543546,0.0247547196135436,0.984846328049175
"ASV_139",0.359275831748613,0.683,0.955244755244755,1.86278281686733,0.0578448428809143,0.984846328049175
"ASV_328",0.517411967625868,0.689,0.956944444444444,1.31369423078149,0.0406289957494351,0.984846328049175
"ASV_41",-0.362420957387038,0.698,0.962758620689655,3.57667653730806,0.104164377984236,0.984846328049175
"ASV_248",0.618334811415463,0.732,0.976315789473684,2.53244094033827,0.0759005221517636,0.984846328049175
"ASV_282",0.335364239434174,0.739,0.976315789473684,0.527770473056837,0.0172397225244587,0.984846328049175
"ASV_297",0.393120354426742,0.742,0.976315789473684,1.2417703087216,0.0384541961407167,0.984846328049175
"ASV_402",-0.408307997132222,0.718,0.976315789473684,2.91779548877172,0.0864230498890783,0.984846328049175
"ASV_406",-0.387252091681277,0.737,0.976315789473684,1.60371762390218,0.046972648191756,0.984846328049175
"ASV_411",0.394482659734297,0.727,0.976315789473684,5.50798741170708,0.148128352605492,0.984846328049175
"ASV_514",0.34098501463255,0.733,0.976315789473684,3.90336793466409,0.113009491587368,0.984846328049175
