"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"asv","Ips grandicollis","ASV_6746","Graphilbum",NA,69,19,4,2,17,2,48,0.0952380952380952,0.132497309260694,0.0277431902095412,-1.34300394948037,0.9775,0.2995,0.599,1,0.302834814534628,0.694738692167675,"avoiding"
"asv","Ips grandicollis","ASV_1646","Raffaelea","arxii",69,19,5,2,17,3,47,0.0909090909090909,0.0603602196355094,0.0285082853373199,1.07157869763533,0.425,1,0.85,1,0.610651337948357,0.99230842416608,"co-occurring"
"asv","Ips grandicollis","ASV_7106","Ophiostoma","denticiliatum",69,19,5,2,17,3,47,0.0909090909090909,0.0762357463316648,0.0237900766211327,0.616784250471552,0.7105,1,1,1,0.610651337948357,0.99230842416608,"co-occurring"
"asv","Ips grandicollis","ASV_7819","Hawksworthiomyces",NA,69,19,5,2,17,3,47,0.0909090909090909,0.0840281800979556,0.016708082698143,0.411831263673367,0.855,1,1,1,0.610651337948357,0.99230842416608,"co-occurring"
"asv","Ips grandicollis","ASV_4044","Graphilbum",NA,69,19,6,2,17,4,46,0.0869565217391304,0.112191471229682,0.024704021195196,-1.02149157382763,1,0.4895,0.979,1,0.664186778980458,1,"avoiding"
"asv","Ips grandicollis","ASV_5162","Sporothrix",NA,69,19,7,2,17,5,45,0.0833333333333333,0.0761364015341004,0.0161307589122472,0.44616200876753,0.834,1,1,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_1122","Raffaelea","arxii",69,19,8,2,17,6,44,0.08,0.0741164813175821,0.0299457219821675,0.196472761148371,0.721,0.8475,1,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_8974","Ophiostoma","karelicum",69,19,3,1,18,2,48,0.0476190476190476,0.0476190476190498,0,NA,1,1,1,1,1,1,"avoiding"
"asv","Ips grandicollis","ASV_28495","Raffaelea","subfusca",69,19,3,1,18,2,48,0.0476190476190476,0.023559398746993,0.0238141672249787,1.01030821883279,0.495,1,0.99,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_4337","Ophiostoma","undulatum",69,19,4,1,18,3,47,0.0454545454545455,0.022488516985766,0.0227317050783886,1.01030821883281,0.495,1,0.99,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_11600","Ophiostoma","undulatum",69,19,4,1,18,3,47,0.0454545454545455,0.0616812735372033,0.0305388878885169,-0.531346398136501,0.9105,0.5925,1,1,1,1,"avoiding"
"asv","Ips grandicollis","ASV_22166","Grosmannia","cucullata",69,19,4,1,18,3,47,0.0454545454545455,0.0379053162945117,0.0169203764813783,0.446162008767479,0.834,1,1,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_25723","Ceratocystiopsis","manitobensis",69,19,4,1,18,3,47,0.0454545454545455,0.0793221285967682,0.0252349996723467,-1.3420877187225,0.9775,0.2995,0.599,1,1,1,"avoiding"
"asv","Ips grandicollis","ASV_22950","Sporothrix",NA,69,19,6,1,18,5,45,0.0416666666666667,0.0347465399366346,0.0155103451079299,0.44616200876756,0.834,1,1,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_13560","Hawksworthiomyces",NA,69,19,7,1,18,6,44,0.04,0.0331165582791391,0.0151019863246999,0.455797109920746,0.828,1,1,1,0.664186778980458,1,"co-occurring"
"asv","Ips grandicollis","ASV_5724","Graphilbum",NA,69,19,4,0,19,4,46,0,0,0,NA,1,1,1,1,0.569231267517331,0.980469054704239,"co-occurring"
"asv","Ips grandicollis","ASV_9224","Ophiostoma","sparsiannulatum",69,19,3,0,19,3,47,0,0,0,NA,1,1,1,1,0.555769744627247,0.980469054704239,"co-occurring"
"asv","Ips grandicollis","ASV_11554","Raffaelea","crossotarsi",69,19,3,0,19,3,47,0,0,0,NA,1,1,1,1,0.555769744627247,0.980469054704239,"co-occurring"
"asv","Ips grandicollis","ASV_27488","Ceratocystiopsis","synnemata",69,19,4,0,19,4,46,0,0,0,NA,1,1,1,1,0.569231267517331,0.980469054704239,"co-occurring"
"asv","Ips pini","ASV_3603","Sporothrix","eucastaneae",69,5,10,3,2,7,57,0.25,0.0821042389326549,0.0651855401323471,2.5756595822703,0.0425,1,0.085,1,0.0193942027739791,0.126062318030864,"co-occurring"
"asv","Ips pini","ASV_11554","Raffaelea","crossotarsi",69,5,3,1,4,2,62,0.142857142857143,0.0463088687200742,0.066882577033169,1.44354895429923,0.3245,1,0.649,1,0.204794442111692,0.520890211458,"co-occurring"
"asv","Ips pini","ASV_6746","Graphilbum",NA,69,5,4,1,4,3,61,0.125,0.0259504752376188,0.0507116230980775,1.95319176771008,0.208,1,0.416,1,0.265037287406261,0.62151086002214,"co-occurring"
"asv","Ips pini","ASV_25723","Ceratocystiopsis","manitobensis",69,5,4,1,4,3,61,0.125,0.0732509111698707,0.0824816880595473,0.627400942531259,0.502,0.9345,1,1,0.265037287406261,0.62151086002214,"co-occurring"
