"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_3285",-1.78200144276887,0.193,0.96,2.02620821901941
"ASV_22991",-0.794592568932431,0.199,0.96,2.00467555177243
"ASV_10391",-0.945694809775119,0.156,0.96,1.98019406986248
"ASV_22164",-0.695598851182749,0.226,0.96,1.93847536528093
"ASV_5640",-1.51664985097572,0.23,0.96,1.91418342970866
"ASV_10012",-1.34765341729538,0.268,0.96,1.90623513418094
"ASV_6698",-1.07538772750239,0.144,0.96,1.90359807967272
"ASV_4353",-1.03948886441954,0.156,0.96,1.87936753900125
"ASV_11609",-1.67594895911491,0.11,0.96,1.86687382893772
"ASV_15148",-1.17598401180733,0.202,0.96,1.86661551333055
"ASV_4026",-1.33474817826116,0.23,0.96,1.86413933310225
"ASV_88",2.29869082460357,0.284,0.96,1.85981451175514
"ASV_4323",-2.30311946939602,0.175,0.96,1.85936086866041
"ASV_13213",-1.30449407372257,0.146,0.96,1.84666504866511
"ASV_3328",-1.33178811931355,0.224,0.96,1.82936501530273
"ASV_9550",-0.901564668116058,0.16,0.96,1.81982716444731
"ASV_10291",1.7018438907428,0.081,0.96,1.80236086308018
"ASV_1814",-0.77072000936712,0.309,0.96,1.79275622098981
"ASV_2369",1.50656792369195,0.198,0.96,1.79225053345638
"ASV_11125",-0.725844535575017,0.309,0.96,1.78847641578647
"ASV_8804",-1.05371363309735,0.117,0.96,1.78185269782114
"ASV_18008",-1.86001907482363,0.102,0.96,1.77639780422764
"ASV_11019",-2.13514672811829,0.13,0.96,1.77299601352298
"ASV_12851",-1.93945703810081,0.301,0.96,1.74298118267532
"ASV_154",-0.740352910987141,0.165,0.96,1.72612147980883
"ASV_10295",-1.1417440323179,0.493,0.966153846153846,4.56335738462283
"ASV_4833",-1.58722288324757,0.433,0.966153846153846,3.79780493551237
"ASV_16141",-0.765215450006583,0.533,0.966153846153846,3.78038489003347
"ASV_19598",0.329623590801903,0.603,0.966153846153846,3.64231995931776
"ASV_7880",-0.949407538566183,0.355,0.966153846153846,3.45329514010696
"ASV_12132",-0.447796425629274,0.467,0.966153846153846,3.3859403930105
"ASV_8640",-1.35821766440449,0.569,0.966153846153846,3.35261671937078
"ASV_10208",-0.35614599474007,0.532,0.966153846153846,3.12685074500212
"ASV_10164",-0.413030954020962,0.482,0.966153846153846,3.00064671539992
"ASV_4076",0.566622644869582,0.386,0.966153846153846,2.93442210271885
"ASV_7810",-1.41523919011072,0.449,0.966153846153846,2.88691617682916
"ASV_18169",-0.308636176469766,0.586,0.966153846153846,2.87037661221313
"ASV_10251",-1.04011478072355,0.628,0.966153846153846,2.84927346878833
"ASV_5903",-0.306009933874667,0.577,0.966153846153846,2.81487481933453
"ASV_16269",0.486409417630739,0.511,0.966153846153846,2.8038407100859
"ASV_13706",-0.576405621575042,0.416,0.966153846153846,2.76732486522261
"ASV_12780",1.17267186617626,0.393,0.966153846153846,2.75911124387488
"ASV_24648",-0.514272163452356,0.381,0.966153846153846,2.75375351061899
"ASV_1905",0.590726490391108,0.462,0.966153846153846,2.72891057699303
"ASV_199",-0.502082874855612,0.329,0.966153846153846,2.6593206765134
"ASV_14792",-0.675820336388034,0.416,0.966153846153846,2.65468166637324
"ASV_2213",-0.834029362151143,0.588,0.966153846153846,2.63591123613952
"ASV_6633",-1.35672709861914,0.617,0.966153846153846,2.48509154055085
"ASV_7977",-0.562537585211807,0.348,0.966153846153846,2.47997351865929
"ASV_9583",-0.612385613326677,0.488,0.966153846153846,2.45259710128537
"ASV_3717",-1.09313698665313,0.51,0.966153846153846,2.43257009071902
"ASV_1482",0.310366183875647,0.43,0.966153846153846,2.42848905161662
"ASV_9708",-0.830996445020525,0.387,0.966153846153846,2.38949736154844
"ASV_19175",0.346735357519697,0.623,0.966153846153846,2.35251338297376
"ASV_17542",0.268839235966108,0.621,0.966153846153846,2.31178481273353
"ASV_9852",-0.881074155645776,0.553,0.966153846153846,2.24565787852979
"ASV_9528",-1.23882365653218,0.546,0.966153846153846,2.22656478339598
"ASV_25414",-0.724458928021366,0.354,0.966153846153846,2.22319622382026
"ASV_5528",-1.36702725702862,0.354,0.966153846153846,2.20869430102644
"ASV_192",0.850435611258695,0.578,0.966153846153846,2.13923430375471
"ASV_3380",-1.65128114698531,0.418,0.966153846153846,2.13548949730243
"ASV_29406",-1.43408648243028,0.557,0.966153846153846,2.13094064679362
"ASV_5789",-1.67707930090952,0.396,0.966153846153846,2.11510463993373
"ASV_12447",-0.326178659672012,0.559,0.966153846153846,2.08136704096343
"ASV_2691",-1.83141314563941,0.573,0.966153846153846,2.07199403723266
"ASV_9193",-0.559975748795554,0.566,0.966153846153846,2.02307282034706
"ASV_9406",-0.41396894501336,0.475,0.966153846153846,2.00289903601969
"ASV_8188",0.338069800562177,0.353,0.966153846153846,1.98336967844687
"ASV_13251",-0.40048275964814,0.473,0.966153846153846,1.94064877888186
"ASV_18465",-0.467439689306386,0.541,0.966153846153846,1.93473957159888
"ASV_23943",-0.491757365878328,0.438,0.966153846153846,1.90367512823925
"ASV_7955",-0.569864145163151,0.573,0.966153846153846,1.86174098404059
"ASV_5369",-0.297763715372269,0.614,0.966153846153846,1.85945808165231
"ASV_7867",-1.14954496899073,0.32,0.966153846153846,1.85030232693449
"ASV_10441",-0.664031140488304,0.399,0.966153846153846,1.844192703941
"ASV_7470",0.44405921424609,0.606,0.966153846153846,1.83385791256365
"ASV_9007",-1.42004420681257,0.515,0.966153846153846,1.83366797362631
"ASV_8816",0.728260338152891,0.595,0.966153846153846,1.83185812329782
"ASV_4597",-1.53739413440037,0.625,0.966153846153846,1.8304256673866
"ASV_248",0.885195363999356,0.586,0.966153846153846,1.82967136036718
"ASV_7125",-0.445966744881952,0.548,0.966153846153846,1.82842923170035
"ASV_7040",-0.743076662003738,0.617,0.966153846153846,1.82796763229878
"ASV_13755",-0.553307614752672,0.475,0.966153846153846,1.8156735509812
"ASV_17186",0.584285257334908,0.328,0.966153846153846,1.79460573407071
"ASV_17560",-0.844088158050825,0.378,0.966153846153846,1.79047306939956
"ASV_14061",-0.463466013697931,0.499,0.966153846153846,1.78189076329128
"ASV_3449",0.349085832646284,0.564,0.966153846153846,1.78097318335556
"ASV_12425",-0.336975218921036,0.474,0.966153846153846,1.76878847463823
"ASV_3958",-0.633186380534604,0.499,0.966153846153846,1.76787901796962
"ASV_5045",-2.24893024453459,0.456,0.966153846153846,1.74533890935453
"ASV_11114",0.308408753250579,0.646,0.971428571428571,2.05901938280243
"ASV_7514",-1.85754764160399,0.645,0.971428571428571,2.00559660793091
"ASV_2600",0.318541100192502,0.642,0.971428571428571,1.88630309331551
"ASV_2285",-0.373560269067696,0.69,0.972789115646258,4.97882146432713
"ASV_14064",0.354251950775222,0.71,0.972789115646258,2.88920298251667
"ASV_13108",-0.82784206781245,0.705,0.972789115646258,2.76508992936588
"ASV_1687",0.903821345045435,0.695,0.972789115646258,2.46750626235422
"ASV_8864",-0.822966253182784,0.715,0.972789115646258,2.35083590520638
"ASV_3926",0.245875022323388,0.71,0.972789115646258,2.347209761401
"ASV_4589",-0.565895322851404,0.712,0.972789115646258,2.2372342680981
"ASV_1395",-1.05077355676669,0.693,0.972789115646258,2.15159237317644
"ASV_11210",-0.939754545299599,0.704,0.972789115646258,2.10565476548445
"ASV_7025",-1.42302763258556,0.684,0.972789115646258,2.09150916062029
"ASV_15958",-1.22860371565078,0.674,0.972789115646258,2.08120366555722
"ASV_2254",-0.359391945468074,0.656,0.972789115646258,1.95859637397772
"ASV_8783",0.78520980372593,0.694,0.972789115646258,1.86883044687764
"ASV_4626",-0.184227776016755,0.675,0.972789115646258,1.77914593507083
"ASV_4083",-0.138014217794003,0.846,0.981621621621622,4.10255305815221
"ASV_18877",-0.223339923485485,0.882,0.981621621621622,3.24434522654536
"ASV_7978",-0.753189406525362,0.804,0.981621621621622,3.23263693905903
"ASV_9691",0.100786536976597,0.871,0.981621621621622,2.90895173049435
"ASV_23277",0.157620566506231,0.795,0.981621621621622,2.46564853981214
"ASV_5838",-0.165519630490562,0.782,0.981621621621622,2.44636255516672
"ASV_2810",-0.233240199997115,0.904,0.981621621621622,2.34311239137314
"ASV_5",0.129417233215049,0.866,0.981621621621622,2.33998157500437
"ASV_18544",-0.0473961762907879,0.898,0.981621621621622,2.30506988668101
"ASV_4605",0.168001656233839,0.806,0.981621621621622,2.26902666338999
"ASV_1769",-0.296711856238049,0.802,0.981621621621622,2.12978303583601
"ASV_18022",0.160086709043576,0.855,0.981621621621622,2.12122255359488
"ASV_6622",-0.622430680717404,0.745,0.981621621621622,2.04358104881271
"ASV_3620",-0.133165373156788,0.853,0.981621621621622,2.01080190790378
"ASV_1317",0.814904984583279,0.877,0.981621621621622,2.00612773323253
"ASV_1289",-0.289046446612931,0.786,0.981621621621622,1.9950814077445
"ASV_12330",-0.0882873649061408,0.891,0.981621621621622,1.99503205155961
"ASV_9178",-0.697962440081478,0.877,0.981621621621622,1.98090002960277
"ASV_9610",-0.112191453789066,0.902,0.981621621621622,1.96874445383062
"ASV_2795",-1.08931074760159,0.75,0.981621621621622,1.94533452906854
"ASV_3972",0.160870624361295,0.897,0.981621621621622,1.93918420044364
"ASV_3859",-2.1683705227661,0.78,0.981621621621622,1.93001359550663
"ASV_4689",-0.0896886108793295,0.907,0.981621621621622,1.88756679948188
"ASV_10218",0.87903279140941,0.799,0.981621621621622,1.88328929866455
"ASV_15353",-0.869704723274798,0.815,0.981621621621622,1.87532918685037
"ASV_2127",0.167944767677993,0.75,0.981621621621622,1.87088745135482
"ASV_11186",0.196471517351407,0.799,0.981621621621622,1.81701885346185
"ASV_2912",1.10515029506374,0.788,0.981621621621622,1.81481702670294
"ASV_3345",0.496566581761365,0.89,0.981621621621622,1.8029231924002
"ASV_886",0.246991774486285,0.907,0.981621621621622,1.79754586728566
"ASV_14932",-0.316225088991499,0.842,0.981621621621622,1.79745978146637
"ASV_14407",1.46208525478863,0.736,0.981621621621622,1.79736525394271
"ASV_5317",0.290174811105831,0.803,0.981621621621622,1.78033849972718
"ASV_5092",0.916572662965037,0.896,0.981621621621622,1.77235801398449
"ASV_9818",0.242727622647189,0.908,0.981621621621622,1.75639499750558
"ASV_14038",0.806140605788989,0.902,0.981621621621622,1.75477703430636
"ASV_3455",-0.832505819952564,0.801,0.981621621621622,1.75212667705738
"ASV_27486",-0.174606124837082,0.744,0.981621621621622,1.75082675352944
"ASV_6273",0.151399733629809,0.917,0.982105263157895,2.22555440799568
"ASV_1235",0.103033826544859,0.926,0.982105263157895,1.88540502660303
"ASV_616",-0.753799412643465,0.924,0.982105263157895,1.88038628954459
"ASV_11229",0.0781145201979656,0.933,0.982105263157895,1.85989744289509
"ASV_8489",-0.0980719307357198,0.933,0.982105263157895,1.80585084762002
"ASV_13242",0.159881252179844,0.949,0.991666666666667,2.08714860266211
"ASV_6937",-0.047207439280099,0.952,0.991666666666667,1.73724269561636
"ASV_6655",0.0138183864738454,0.977,0.993908629441624,2.19543064815921
"ASV_14881",-0.0382032197612003,0.964,0.993908629441624,2.12176561460337
"ASV_12553",-0.357477979833008,0.979,0.993908629441624,1.9107668988677
"ASV_5226",0.0168155133846674,0.975,0.993908629441624,1.82264351672302
"ASV_3064",-0.0251985698602168,0.966,0.993908629441624,1.75846236354526
"ASV_8396",0.0298923148888249,0.989,0.993969849246231,2.26604724621812
"ASV_5727",2.09549561493844,0.987,0.993969849246231,2.08982454393459
"ASV_4646",0.00662755132996566,0.998,0.998,2.24803329452633
