"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_11723",1.18855172127125,0.135,0.868571428571429,2.08626043456107
"ASV_13251",1.49989365681587,0.152,0.868571428571429,1.94064877888186
"ASV_2912",-1.54483278825295,0.141,0.868571428571429,1.81481702670294
"ASV_3345",-1.56350886355946,0.146,0.868571428571429,1.8029231924002
"ASV_9635",1.36154395526837,0.152,0.868571428571429,1.79451142946175
"ASV_3125",-1.6416581365054,0.15,0.868571428571429,2.22567951366774
"ASV_23943",-1.72952382903641,0.161,0.894444444444444,1.90367512823925
"ASV_5092",-1.45569216034597,0.169,0.913513513513514,1.77235801398449
"ASV_15958",-1.18110212395929,0.209,0.937777777777778,2.08120366555722
"ASV_6633",-1.36922424981263,0.211,0.937777777777778,2.48509154055085
"ASV_154",1.32069867485658,0.21,0.937777777777778,1.72612147980883
"ASV_7977",1.20629697679723,0.207,0.937777777777778,2.47997351865929
"ASV_19483",-1.27248270622576,0.205,0.937777777777778,2.48359620799505
"ASV_9583",-1.47055414571795,0.19,0.937777777777778,2.45259710128537
"ASV_8816",1.31054921092377,0.192,0.937777777777778,1.83185812329782
"ASV_5727",-1.30291423801523,0.192,0.937777777777778,2.08982454393459
"ASV_12553",-0.6745009733073,0.464,0.95,1.9107668988677
"ASV_3449",-1.11835181554992,0.295,0.95,1.78097318335556
"ASV_12734",-0.851479267542572,0.343,0.95,2.73488807133962
"ASV_9178",-0.78346492829221,0.5,0.95,1.98090002960277
"ASV_3717",-0.809003669121822,0.422,0.95,2.43257009071902
"ASV_15353",-0.633875422344324,0.507,0.95,1.87532918685037
"ASV_2213",-0.8374028954627,0.437,0.95,2.63591123613952
"ASV_1905",-0.956316219344238,0.315,0.95,2.72891057699303
"ASV_6622",-0.960577692148328,0.319,0.95,2.04358104881271
"ASV_319",-0.820286834058016,0.4,0.95,2.53477832125935
"ASV_1433",-0.630033226312557,0.513,0.95,2.37218380233338
"ASV_5838",-0.767538003419056,0.385,0.95,2.44636255516672
"ASV_18544",0.611255678728302,0.513,0.95,2.30506988668101
"ASV_7025",-0.77945231419997,0.442,0.95,2.09150916062029
"ASV_7514",-0.80140627407061,0.492,0.95,2.00559660793091
"ASV_7880",-1.1995327467804,0.242,0.95,3.45329514010696
"ASV_4626",0.8724085277607,0.349,0.95,1.77914593507083
"ASV_9852",-0.786857073970195,0.447,0.95,2.24565787852979
"ASV_9550",-1.27102232111465,0.223,0.95,1.81982716444731
"ASV_1147",0.681772347237621,0.491,0.95,1.73936459588787
"ASV_2600",-0.717300419207563,0.434,0.95,1.88630309331551
"ASV_199",1.14922219737811,0.233,0.95,2.6593206765134
"ASV_4026",0.969668024035918,0.339,0.95,1.86413933310225
"ASV_1235",-1.36545212202553,0.265,0.95,1.88540502660303
"ASV_14932",-1.08022121896801,0.319,0.95,1.79745978146637
"ASV_9528",1.11798062276797,0.245,0.95,2.22656478339598
"ASV_22991",0.827718406960248,0.417,0.95,2.00467555177243
"ASV_9610",-0.770031953185631,0.453,0.95,1.96874445383062
"ASV_7470",-0.824045439311023,0.399,0.95,1.83385791256365
"ASV_2007",0.569782288155715,0.488,0.95,2.61195502554307
"ASV_3328",1.08278889907096,0.254,0.95,1.82936501530273
"ASV_10025",0.736936866410623,0.439,0.95,1.74392560169413
"ASV_9406",0.976114298774485,0.26,0.95,2.00289903601969
"ASV_23277",0.846121657375704,0.372,0.95,2.46564853981214
"ASV_25414",0.975156104408413,0.36,0.95,2.22319622382026
"ASV_11125",0.600384809305138,0.498,0.95,1.78847641578647
"ASV_15148",0.856452921269998,0.381,0.95,1.86661551333055
"ASV_11186",0.787511724995539,0.423,0.95,1.81701885346185
"ASV_9818",-1.09668185753721,0.398,0.95,1.75639499750558
"ASV_9193",0.680051121987791,0.482,0.95,2.02307282034706
"ASV_3958",-1.09367547323684,0.292,0.95,1.76787901796962
"ASV_5903",0.847266036443656,0.325,0.95,2.81487481933453
"ASV_9085",0.76229600194703,0.393,0.95,2.48648972478188
"ASV_4323",0.751861582343492,0.427,0.95,1.85936086866041
"ASV_12851",-0.969728483483678,0.397,0.95,1.74298118267532
"ASV_5045",-0.881995877629019,0.401,0.95,1.74533890935453
"ASV_12425",0.835597544156386,0.291,0.95,1.76878847463823
"ASV_1814",0.669767023183,0.513,0.95,1.79275622098981
"ASV_2369",-0.68355370410612,0.487,0.95,1.79225053345638
"ASV_22164",-1.19643775702398,0.264,0.95,1.93847536528093
"ASV_14407",-1.12143686159794,0.405,0.95,1.79736525394271
"ASV_3064",-1.28280082052913,0.25,0.95,1.75846236354526
"ASV_4076",0.750747020018469,0.397,0.95,2.93442210271885
"ASV_14038",-0.994369496947432,0.392,0.95,1.75477703430636
"ASV_11794",1.08820153345745,0.225,0.95,2.42193263158797
"ASV_8804",-0.780157986354048,0.461,0.95,1.78185269782114
"ASV_5702",0.692965758784554,0.427,0.95,2.49339531599296
"ASV_5156",1.06980469825933,0.289,0.95,2.5014660067774
"ASV_18008",0.989114283680819,0.303,0.95,1.77639780422764
"ASV_12870",-0.851291622809015,0.376,0.95,2.95589332243567
"ASV_18169",-0.928805689699789,0.336,0.95,2.87037661221313
"ASV_8783",-0.840772332920482,0.454,0.95,1.86883044687764
"ASV_8396",-0.936662778789865,0.333,0.95,2.26604724621812
"ASV_27486",0.609405996955075,0.52,0.954128440366973,1.75082675352944
"ASV_2254",-0.644618964314609,0.526,0.956363636363636,1.95859637397772
"ASV_2795",-0.527881624559572,0.593,0.96030534351145,1.94533452906854
"ASV_7978",-0.646596502882519,0.533,0.96030534351145,3.23263693905903
"ASV_4605",-0.479302825115353,0.583,0.96030534351145,2.26902666338999
"ASV_18877",-0.479745282377714,0.595,0.96030534351145,3.24434522654536
"ASV_4589",0.517172043464148,0.609,0.96030534351145,2.2372342680981
"ASV_12447",0.416373431032167,0.629,0.96030534351145,2.08136704096343
"ASV_10295",-0.529777408353676,0.57,0.96030534351145,4.56335738462283
"ASV_7125",-0.546591257831592,0.572,0.96030534351145,1.82842923170035
"ASV_8864",-0.484358844389993,0.624,0.96030534351145,2.35083590520638
"ASV_3285",0.571525584619584,0.589,0.96030534351145,2.02620821901941
"ASV_2810",-0.404404657772059,0.628,0.96030534351145,2.34311239137314
"ASV_1238",-0.52203500580888,0.587,0.96030534351145,2.63435743991971
"ASV_10441",0.554115247171163,0.627,0.96030534351145,1.844192703941
"ASV_886",-0.531487909799484,0.612,0.96030534351145,1.79754586728566
"ASV_6917",0.55138716069161,0.567,0.96030534351145,2.50902860944336
"ASV_11336",0.413874546440412,0.626,0.96030534351145,2.43982534942959
"ASV_4833",0.587936166063588,0.554,0.96030534351145,3.79780493551237
"ASV_8208",0.458291355258536,0.597,0.96030534351145,2.8610929575301
"ASV_19598",0.414358211783662,0.623,0.96030534351145,3.64231995931776
"ASV_9691",-0.524013955812558,0.553,0.96030534351145,2.90895173049435
"ASV_10012",0.545989850871567,0.603,0.96030534351145,1.90623513418094
"ASV_11114",-0.223871072420942,0.81,0.966666666666667,2.05901938280243
"ASV_13706",-0.235768387020276,0.823,0.966666666666667,2.76732486522261
"ASV_18015",-0.316335997279141,0.73,0.966666666666667,2.36164762543017
"ASV_19175",0.324504416084521,0.737,0.966666666666667,2.35251338297376
"ASV_29406",0.259719875521705,0.799,0.966666666666667,2.13094064679362
"ASV_14881",0.366242481880677,0.695,0.966666666666667,2.12176561460337
"ASV_10164",-0.223361430742554,0.834,0.966666666666667,3.00064671539992
"ASV_12330",0.264610585023946,0.775,0.966666666666667,1.99503205155961
"ASV_8188",0.24430632764452,0.787,0.966666666666667,1.98336967844687
"ASV_17186",-0.387323638427356,0.681,0.966666666666667,1.79460573407071
"ASV_8640",-0.214465490115438,0.837,0.966666666666667,3.35261671937078
"ASV_8075",0.372175127718677,0.71,0.966666666666667,2.03588609609785
"ASV_11609",0.263345967623191,0.792,0.966666666666667,1.86687382893772
"ASV_18022",-0.379352386147144,0.697,0.966666666666667,2.12122255359488
"ASV_5528",-0.337397920022178,0.731,0.966666666666667,2.20869430102644
"ASV_5789",-0.20930619526835,0.839,0.966666666666667,2.11510463993373
"ASV_18465",0.210470735775601,0.821,0.966666666666667,1.93473957159888
"ASV_11229",-0.514765817211956,0.651,0.966666666666667,1.85989744289509
"ASV_3455",0.2395211689432,0.804,0.966666666666667,1.75212667705738
"ASV_7449",0.335081988940137,0.693,0.966666666666667,2.32932683925449
"ASV_4689",-0.370061424162968,0.698,0.966666666666667,1.88756679948188
"ASV_17542",0.323050334076173,0.753,0.966666666666667,2.31178481273353
"ASV_6655",0.295959935390525,0.754,0.966666666666667,2.19543064815921
"ASV_13151",0.477948015482659,0.66,0.966666666666667,2.24071215454985
"ASV_5317",-0.531895650574298,0.701,0.966666666666667,1.78033849972718
"ASV_2691",-0.333694044097268,0.739,0.966666666666667,2.07199403723266
"ASV_7955",0.216015421534119,0.806,0.966666666666667,1.86174098404059
"ASV_2127",0.318642556357144,0.702,0.966666666666667,1.87088745135482
"ASV_16141",-0.189716415501778,0.832,0.966666666666667,3.78038489003347
