"taxon","t_stat","p_perm","q_value"
"ASV_969",-7.50279752004075,0.001,0.001
"ASV_1497",-7.2507531494124,0.001,0.001
"ASV_217",-7.30751824630335,0.001,0.001
"ASV_302",-7.28267636325249,0.001,0.001
"ASV_5714",7.32551418897735,0.001,0.001
"ASV_2690",-7.09297790727653,0.001,0.001
"ASV_3211",7.86887881520904,0.001,0.001
"ASV_2702",-7.41241879538817,0.001,0.001
"ASV_1706",6.97376867742222,0.001,0.001
"ASV_345",-7.88008644398796,0.001,0.001
"ASV_834",-7.24688337603162,0.001,0.001
"ASV_1957",6.80408496672411,0.001,0.001
"ASV_103",7.61094844727274,0.001,0.001
"ASV_975",-7.41563826887956,0.001,0.001
"ASV_236",-6.89696396408268,0.001,0.001
"ASV_4292",7.42081845738318,0.001,0.001
"ASV_2376",7.00587124964883,0.001,0.001
"ASV_755",-6.64673492532249,0.001,0.001
"ASV_1282",-6.63959095973429,0.001,0.001
"ASV_3701",7.29623159666415,0.001,0.001
"ASV_222",-6.76940714614469,0.001,0.001
"ASV_930",7.15764046786627,0.001,0.001
"ASV_176",-6.91538724365649,0.001,0.001
"ASV_98",8.69926206630914,0.001,0.001
"ASV_1567",-6.76358142039489,0.001,0.001
"ASV_879",-6.78463760678802,0.001,0.001
"ASV_2078",7.28031756186284,0.001,0.001
"ASV_406",-6.70045135776912,0.001,0.001
"ASV_85",-6.78451541978442,0.001,0.001
"ASV_562",-8.79788148702818,0.001,0.001
"ASV_1331",-6.8935259157826,0.001,0.001
"ASV_804",-6.79292941954905,0.001,0.001
"ASV_1464",-7.26121954748514,0.001,0.001
"ASV_1143",7.77197587388323,0.001,0.001
"ASV_10005",6.50257275673899,0.001,0.001
"ASV_1130",7.0553555322026,0.001,0.001
"ASV_343",8.22419180408067,0.001,0.001
"ASV_7126",7.15874156677957,0.001,0.001
"ASV_414",6.73469065565524,0.001,0.001
"ASV_913",-6.75604111859052,0.001,0.001
"ASV_4878",-6.54065859288357,0.001,0.001
"ASV_698",-6.88587794654067,0.001,0.001
"ASV_2974",6.89107237242453,0.001,0.001
"ASV_1098",6.495580190757,0.001,0.001
"ASV_558",-6.69296033049709,0.001,0.001
"ASV_3447",6.99827058540435,0.001,0.001
"ASV_6199",6.50803534127309,0.001,0.001
"ASV_429",6.55284155702714,0.001,0.001
"ASV_8768",6.38577905605192,0.001,0.001
"ASV_984",-6.77820751214288,0.001,0.001
"ASV_191",6.54902768214895,0.001,0.001
"ASV_1221",-6.52062184086871,0.001,0.001
"ASV_318",-6.40921694355646,0.001,0.001
"ASV_601",6.29856031691351,0.001,0.001
"ASV_4506",6.65466392717896,0.001,0.001
"ASV_6162",6.23811070534603,0.001,0.001
"ASV_3205",6.17187775281392,0.001,0.001
"ASV_189",6.33266868522923,0.001,0.001
"ASV_147",6.29543587186004,0.001,0.001
"ASV_1671",-6.19709748324673,0.001,0.001
"ASV_952",7.04731235005343,0.001,0.001
"ASV_6336",6.31288077735777,0.001,0.001
"ASV_589",-6.53090398768228,0.001,0.001
"ASV_1137",6.79074703253202,0.001,0.001
"ASV_298",7.17514540710931,0.001,0.001
"ASV_381",7.54991054520865,0.001,0.001
"ASV_1487",-6.26477819511869,0.001,0.001
"ASV_1794",6.88753874284074,0.001,0.001
"ASV_2348",6.86860506883378,0.001,0.001
"ASV_3531",6.03415324516483,0.001,0.001
"ASV_211",7.15812747943392,0.001,0.001
"ASV_680",-6.40519678731103,0.001,0.001
"ASV_8887",6.68080388693977,0.001,0.001
"ASV_525",-6.07830067501616,0.001,0.001
"ASV_4271",5.91410803762946,0.001,0.001
"ASV_657",-8.10139119414925,0.001,0.001
"ASV_75",6.33532284297273,0.001,0.001
"ASV_4722",5.94131955030647,0.001,0.001
"ASV_499",-6.08348709139849,0.001,0.001
"ASV_67",5.85259847815556,0.001,0.001
"ASV_1905",-6.78443719952248,0.001,0.001
"ASV_5158",6.01047242161211,0.001,0.001
"ASV_1160",-6.06607111763385,0.001,0.001
"ASV_2550",-5.92984730436526,0.001,0.001
"ASV_514",-6.40209874843692,0.001,0.001
"ASV_344",6.38431542480731,0.001,0.001
"ASV_1638",-6.14816829528567,0.001,0.001
"ASV_1695",-5.98879996994755,0.001,0.001
"ASV_72",-6.80104522827996,0.001,0.001
"ASV_4728",6.09213928517533,0.001,0.001
"ASV_2637",-5.83762525422758,0.001,0.001
"ASV_1475",-6.43564879740422,0.001,0.001
