"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_1010",-3.12987625928121,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setophaeosphaeria","s__badalingensis","negative"
"Pityogenes hopkinsi","ASV_1025",3.00302490102455,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__domesticum","positive"
"Pityogenes hopkinsi","ASV_1142",5.18726898195357,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1162",3.49595047242858,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1251",3.46736899430886,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Catillariaceae","g__Catillaria","s__chalybeia","positive"
"Pityogenes hopkinsi","ASV_1274",4.72518146629488,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1387",4.07450609362045,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Mytilinidion","s__insulare","positive"
"Pityogenes hopkinsi","ASV_1452",-3.25872905536811,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Pertusariales","f__Pertusariaceae","g__Pertusaria","s__corallina","negative"
"Pityogenes hopkinsi","ASV_1477",2.99214235587277,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,"positive"
"Pityogenes hopkinsi","ASV_1631",3.58143633815997,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1681",6.2779337608003,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__nitens","positive"
"Pityogenes hopkinsi","ASV_1698",3.92381346450331,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_1718",3.25071415746725,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Cystobasidiomycetes_fam_Incertae_sedis","g__Cystobasidiomycetes_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_1728",3.07374150588129,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,"positive"
"Pityogenes hopkinsi","ASV_1784",4.93685846303884,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Proliferodiscus","s__tricolor","positive"
"Pityogenes hopkinsi","ASV_1820",4.9992805025743,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Rickenellaceae","g__Resinicium","s__bicolor","positive"
"Pityogenes hopkinsi","ASV_1822",-3.7298232128294,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Leptospora","s__rubella","negative"
"Pityogenes hopkinsi","ASV_1826",3.42737053136842,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_1923",4.22788207668918,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","s__olivaceus","positive"
"Pityogenes hopkinsi","ASV_2013",3.89632402998516,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_2110",4.99922346529662,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Alatosessilispora",NA,"positive"
"Pityogenes hopkinsi","ASV_2144",4.78689868515292,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_2272",2.92505746445264,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Lopadostomataceae","g__Lopadostoma",NA,"positive"
"Pityogenes hopkinsi","ASV_2323",2.91639464716337,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Catillariaceae","g__Catillaria","s__chalybeia","positive"
"Pityogenes hopkinsi","ASV_2380",3.64955738500404,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fomitopsis","s__pinicola","positive"
"Pityogenes hopkinsi","ASV_2432",4.29845795264249,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA,"positive"
"Pityogenes hopkinsi","ASV_2521",-3.78043221213735,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Melanchlenus",NA,"negative"
"Pityogenes hopkinsi","ASV_2529",-3.08791864639154,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellales_fam_Incertae_sedis","g__Tremellales_gen_Incertae_sedis",NA,"negative"
"Pityogenes hopkinsi","ASV_2741",4.5968172124684,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,"positive"
"Pityogenes hopkinsi","ASV_2886",4.50865761808495,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomerium",NA,"positive"
"Pityogenes hopkinsi","ASV_2892",4.4927765218116,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Pleurophoma",NA,"positive"
"Pityogenes hopkinsi","ASV_3169",5.25858110613901,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomycetaceae_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_3208",5.5727301436343,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_3239",6.69614218826839,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_3414",-3.505290806779,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__tetramera","negative"
"Pityogenes hopkinsi","ASV_3582",2.85114341332951,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Gloeophyllales","f__Gloeophyllaceae","g__Gloeophyllum","s__sepiarium","positive"
"Pityogenes hopkinsi","ASV_3677",-3.69924172494247,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_3834",3.16695664614419,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Stypella","s__grilletii","positive"
"Pityogenes hopkinsi","ASV_3987",3.86173332007525,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__subulatus","positive"
"Pityogenes hopkinsi","ASV_3997",-3.09677933078823,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_4216",-2.80719465150759,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA,"negative"
"Pityogenes hopkinsi","ASV_4296",-3.24555989137122,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_4336",-3.55687883595923,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora",NA,"negative"
"Pityogenes hopkinsi","ASV_4376",-3.84892458206398,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_4505",3.21301912488822,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_4708",4.18159792291677,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare","positive"
"Pityogenes hopkinsi","ASV_4856",-3.51687133486435,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__globuliferum","negative"
"Pityogenes hopkinsi","ASV_4975",3.05747440180466,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__rosae","positive"
"Pityogenes hopkinsi","ASV_5115",-3.08338816200868,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni","negative"
"Pityogenes hopkinsi","ASV_5285",-3.44772202124008,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA,"negative"
"Pityogenes hopkinsi","ASV_5562",-3.01069945104738,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_5575",3.07551840556927,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Daedaleopsis","s__confragosa","positive"
"Pityogenes hopkinsi","ASV_5578",3.94596071456034,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__piceicola","positive"
"Pityogenes hopkinsi","ASV_5760",-3.05834089663451,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__changbaiensis","negative"
"Pityogenes hopkinsi","ASV_5855",3.26464920232341,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_6125",2.89297980080982,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Venturia",NA,"positive"
"Pityogenes hopkinsi","ASV_6148",3.23191500099058,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiotremataceae","g__Atrocalyx","s__nordicus","positive"
"Pityogenes hopkinsi","ASV_6326",-3.38686725202578,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA,"negative"
"Pityogenes hopkinsi","ASV_6331",6.04552605215578,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Graphostromataceae","g__Graphostroma",NA,"positive"
"Pityogenes hopkinsi","ASV_7092",-3.36158236464432,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Mycocaliciales","f__Mycocaliciaceae","g__Chaenothecopsis",NA,"negative"
"Pityogenes hopkinsi","ASV_7183",-3.42580643009867,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus","negative"
"Pityogenes hopkinsi","ASV_7334",-3.39345318094609,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena",NA,"negative"
"Pityogenes hopkinsi","ASV_7659",4.08897440105325,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Togniniales","f__Togniniaceae","g__Phaeoacremonium","s__angustius","positive"
"Pityogenes hopkinsi","ASV_8076",-3.25549177902621,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Hohenbuehelia","s__canadensis","negative"
"Pityogenes hopkinsi","ASV_8751",-3.89349167743015,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Cosmospora","s__viridescens","negative"
"Pityogenes hopkinsi","ASV_8841",4.25074708230347,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__accedens","positive"
"Pityogenes hopkinsi","ASV_8959",-3.4655392930809,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma","s__phylloplanum","negative"
"Pityogenes hopkinsi","ASV_9152",-2.99192915911968,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_9153",-3.63879088211703,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Sydowia","s__polyspora","negative"
"Pityogenes hopkinsi","ASV_9355",-3.40639878068696,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Pleurophoma",NA,"negative"
"Pityogenes hopkinsi","ASV_9406",-2.72746739566042,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiales_fam_Incertae_sedis","g__Filobasidiales_gen_Incertae_sedis",NA,"negative"
"Pityogenes hopkinsi","ASV_9415",-3.94782370373061,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_9574",-3.58226504057233,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA,"negative"
"Pityogenes hopkinsi","ASV_9910",-3.36294502284645,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA,"negative"
"Pityogenes hopkinsi","ASV_10004",3.98529374831805,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Verrucariales","f__Verrucariaceae","g__Verrucariaceae_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_10697",5.28550335254865,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Lecanoraceae","g__Lecidella","s__albida","positive"
"Pityogenes hopkinsi","ASV_10756",-3.14896978679207,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_11115",-3.64450111004051,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_11266",-2.89711123025731,0.001,0.0443496503496503,0.928541626794258,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
