"taxon","t_stat","p_perm","q_value","date_t_stat","date_q_value"
"ASV_230",2.20633353226305,0.055,0.16056338028169,4.83261129987624,0.00763176895306859
"ASV_285",-1.81111385894812,0.054,0.16056338028169,-4.80720854748183,0.00763176895306859
"ASV_411",2.25761403067724,0.055,0.16056338028169,-5.46976791874067,0.00763176895306859
"ASV_624",2.06418356530008,0.054,0.16056338028169,5.5975088398765,0.00763176895306859
"ASV_676",1.91608403991936,0.056,0.16056338028169,4.64878237728307,0.00763176895306859
"ASV_802",-1.70110000944062,0.057,0.16056338028169,5.6970968551771,0.00763176895306859
"ASV_200",-1.77510040292395,0.058,0.161111111111111,-4.3405998514777,0.00763176895306859
"ASV_169",-1.74447969453168,0.063,0.172602739726027,-13.9608279248063,0.00763176895306859
"ASV_665",-1.92363950532743,0.072,0.194594594594595,-10.9915668320034,0.00763176895306859
"ASV_262",-1.68743367543594,0.075,0.194805194805195,4.37745569737399,0.00763176895306859
"ASV_279",1.73007568558078,0.074,0.194805194805195,3.99398322087659,0.00763176895306859
"ASV_292",2.34687852961639,0.075,0.194805194805195,-4.90465278189943,0.00763176895306859
"ASV_322",-1.89633420192154,0.077,0.197435897435897,7.80887776054676,0.00763176895306859
"ASV_409",-1.58787068899303,0.078,0.19746835443038,-8.13254798645743,0.00763176895306859
"ASV_644",-2.12602584848883,0.08,0.2,-5.00155221386949,0.00763176895306859
"ASV_777",1.6866416326552,0.082,0.202469135802469,5.45162197576356,0.00763176895306859
"ASV_368",1.93396208055003,0.086,0.207228915662651,12.5056016747999,0.00763176895306859
"ASV_442",-2.08927912665146,0.086,0.207228915662651,4.41850852996417,0.00763176895306859
"ASV_608",-1.77075266804614,0.091,0.216666666666667,7.93602872365031,0.00763176895306859
"ASV_161",-1.46768151734494,0.099,0.232941176470588,-3.96158506328289,0.00763176895306859
"ASV_80",-1.92001441118332,0.103,0.239080459770115,-3.12624351562065,0.00763176895306859
"ASV_316",1.74758533794582,0.104,0.239080459770115,12.5326872720429,0.00763176895306859
"ASV_698",-1.73186716673706,0.107,0.242696629213483,-6.88587794654067,0.00763176895306859
"ASV_723",1.60288988792225,0.108,0.242696629213483,4.50515999496198,0.00763176895306859
"ASV_231",1.58138854779172,0.11,0.243478260869565,3.90504984778257,0.00763176895306859
"ASV_605",-1.80482200538277,0.112,0.243478260869565,-9.3629177637214,0.00763176895306859
"ASV_792",-1.78419500908533,0.111,0.243478260869565,-8.85693502139572,0.00763176895306859
"ASV_176",2.20722194549662,0.116,0.247916666666667,-6.91538724365649,0.00763176895306859
"ASV_211",-1.59959243818132,0.119,0.247916666666667,7.15812747943392,0.00763176895306859
"ASV_304",1.78513572104222,0.118,0.247916666666667,3.83456798375486,0.00763176895306859
"ASV_312",-1.66433458121286,0.118,0.247916666666667,9.02651047954881,0.00763176895306859
"ASV_772",-1.42020285397389,0.128,0.263917525773196,-4.4706525672261,0.00763176895306859
"ASV_26",-1.78978953865349,0.135,0.275510204081633,7.63693802698171,0.00763176895306859
"ASV_506",-2.11161000559899,0.148,0.298989898989899,5.46142193012188,0.00763176895306859
"ASV_109",-1.33654541202802,0.151,0.299009900990099,-13.7762616097021,0.00763176895306859
"ASV_133",1.54465866730682,0.151,0.299009900990099,12.0601160787492,0.00763176895306859
"ASV_153",1.5639252027792,0.168,0.32621359223301,-5.38760888699051,0.00763176895306859
"ASV_503",-1.22689653442055,0.168,0.32621359223301,-4.19214447594464,0.00763176895306859
"ASV_490",1.67726596443645,0.175,0.336538461538462,-4.12080831024466,0.00763176895306859
"ASV_148",1.41758472928293,0.177,0.337142857142857,12.156473329936,0.00763176895306859
"ASV_582",-1.33799589068171,0.182,0.343396226415094,-5.62443599636957,0.00763176895306859
"ASV_454",1.23426744183245,0.196,0.366355140186916,8.25401524176802,0.00763176895306859
"ASV_655",-1.44219660574216,0.2,0.37037037037037,-5.93130215346189,0.00763176895306859
"ASV_466",-1.4934638213788,0.202,0.370642201834862,-3.80344096635789,0.00763176895306859
"ASV_32",-1.30521918838416,0.216,0.392727272727273,3.05125201599301,0.00763176895306859
"ASV_191",-1.6943531656794,0.223,0.398214285714286,6.54902768214895,0.00763176895306859
"ASV_721",-1.13885747713445,0.222,0.398214285714286,-4.43924085799588,0.00763176895306859
"ASV_236",-1.13407023802215,0.227,0.401769911504425,-6.89696396408268,0.00763176895306859
"ASV_396",1.22363370679153,0.231,0.405263157894737,3.77997502249088,0.00763176895306859
"ASV_72",-1.06543392775527,0.243,0.411864406779661,-6.80104522827996,0.00763176895306859
"ASV_265",-1.11240850056413,0.239,0.411864406779661,-4.64226066105804,0.00763176895306859
"ASV_485",1.48568195967046,0.242,0.411864406779661,4.37076894500004,0.00763176895306859
"ASV_545",-1.41237669267521,0.239,0.411864406779661,-5.2329284217722,0.00763176895306859
