"taxon","p_lure","q_lure"
"ASV_278",0.956175085992391,0.98843632896885
"ASV_279",0.829740987727893,0.98843632896885
"ASV_281",0.160117770643291,0.98843632896885
"ASV_285",0.993363363390536,0.999800803972657
"ASV_286",0.257388669812886,0.98843632896885
"ASV_291",0.771912441289073,0.98843632896885
"ASV_292",0.00468008006580777,0.234004003290389
"ASV_298",0.448369443195136,0.98843632896885
"ASV_302",0.683001723161028,0.98843632896885
"ASV_304",0.934713031720666,0.98843632896885
"ASV_309",0.238538022053482,0.98843632896885
"ASV_310",0.370322408296289,0.98843632896885
"ASV_311",0.752271038852232,0.98843632896885
"ASV_312",0.116476294563198,0.922013066970095
"ASV_316",0.732926122616411,0.98843632896885
"ASV_318",0.758284880107321,0.98843632896885
"ASV_322",0.858822632408013,0.98843632896885
"ASV_333",0.3745939144165,0.98843632896885
"ASV_335",0.097947207558877,0.922013066970095
"ASV_336",0.728394004656127,0.98843632896885
"ASV_342",0.616055263519198,0.98843632896885
"ASV_343",0.667477315269303,0.98843632896885
"ASV_344",0.348145582151954,0.98843632896885
"ASV_345",0.629556072555158,0.98843632896885
"ASV_347",0.920326412998575,0.98843632896885
"ASV_362",0.355547268531407,0.98843632896885
"ASV_366",0.386055011214426,0.98843632896885
"ASV_368",0.870337234065192,0.98843632896885
"ASV_373",0.923795300018315,0.98843632896885
"ASV_375",0.869064960562606,0.98843632896885
"ASV_379",0.842387179123759,0.98843632896885
"ASV_381",0.621936780624401,0.98843632896885
"ASV_390",0.165900051703272,0.98843632896885
"ASV_392",0.0332930829853006,0.512201276696932
"ASV_396",0.941335251493519,0.98843632896885
"ASV_397",0.195389585756532,0.98843632896885
"ASV_406",0.411534761304195,0.98843632896885
"ASV_409",0.846691973942038,0.98843632896885
"ASV_411",0.0303947596273048,0.512201276696932
"ASV_412",0.0743073747071385,0.828967532833886
"ASV_414",0.765390053664668,0.98843632896885
"ASV_416",0.88777027177013,0.98843632896885
"ASV_417",0.1829663641043,0.98843632896885
"ASV_425",0.982281225114584,0.999800803972657
"ASV_427",0.803106291291138,0.98843632896885
"ASV_429",0.384826286874732,0.98843632896885
"ASV_435",0.199778424105098,0.98843632896885
"ASV_442",0.39382615687619,0.98843632896885
"ASV_444",0.943526908511689,0.98843632896885
"ASV_447",0.809616416421879,0.98843632896885
"ASV_454",0.902617326264452,0.98843632896885
"ASV_459",0.579240721042211,0.98843632896885
"ASV_466",0.812846739200148,0.98843632896885
"ASV_485",0.228900727019842,0.98843632896885
"ASV_490",0.759771772707236,0.98843632896885
"ASV_499",0.777789405114235,0.98843632896885
"ASV_500",0.0029296757299969,0.234004003290389
"ASV_503",0.111942305125536,0.922013066970095
"ASV_504",0.52131101897324,0.98843632896885
"ASV_506",0.462673511731274,0.98843632896885
"ASV_508",0.540089842149637,0.98843632896885
"ASV_511",0.0510508148555602,0.729297355079432
"ASV_512",0.603197398814382,0.98843632896885
"ASV_514",0.0974974265768622,0.922013066970095
"ASV_525",0.999800803972657,0.999800803972657
"ASV_527",0.841158398198423,0.98843632896885
"ASV_529",0.434792614185023,0.98843632896885
"ASV_530",0.17617529021378,0.98843632896885
"ASV_531",0.602950823436541,0.98843632896885
"ASV_534",0.577818519661218,0.98843632896885
"ASV_545",0.322374966240212,0.98843632896885
"ASV_548",0.272643948154475,0.98843632896885
"ASV_550",0.997689853748642,0.999800803972657
"ASV_551",0.922453036595307,0.98843632896885
