"sample_id","n_individuals","coverage","richness_observed","richness_asymptotic","richness_se","richness_lcl","richness_ucl","shannon_observed","shannon_asymptotic","shannon_se","shannon_lcl","shannon_ucl","simpson_observed","simpson_asymptotic","simpson_se","simpson_lcl","simpson_ucl","site","lure","trap_id","date"
"NH.60",220364,0.9979,1759,2135.511,45.975,2055.636,2236.894,8.908,8.955,0.055,8.908,9.064,2.293,2.293,0.007,2.293,2.307,"Manchester Airport","Ethanol","M1-E",2024-06-26
"NH.138",24421,0.9799,1299,1799.112,59.725,1695.072,1930.481,70.081,73.014,1.143,70.774,75.254,12.414,12.419,0.18,12.414,12.773,"Manchester Airport","Ethanol","M1-E",2024-07-10
"NH.89",463090,0.9995,1386,1591.885,34.036,1535.23,1670.05,15.718,15.747,0.052,15.718,15.849,5.036,5.036,0.013,5.036,5.061,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-01
"NH.84",186585,0.9995,1212,1319.162,29.201,1275.421,1393.071,111.569,111.978,0.536,111.569,113.028,22.631,22.634,0.132,22.631,22.893,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-15
"NH.134",106814,0.9955,1299,1778.998,57.896,1678.262,1906.49,12.348,12.463,0.093,12.348,12.644,3.856,3.856,0.018,3.856,3.891,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-05-29
"NH.38",168706,0.9965,2360,2841.708,51.794,2750.413,2954.353,42.881,43.28,0.283,42.881,43.834,8.97,8.97,0.049,8.97,9.066,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-12
"NH.74",50185,0.9944,926,1145.675,34.217,1088.178,1223.558,8.489,8.598,0.111,8.489,8.815,2.147,2.147,0.013,2.147,2.173,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-06-26
"NH.75",86831,0.9947,2151,2438.355,34.959,2377.592,2515.412,96.013,97.506,0.79,96.013,99.054,18.038,18.041,0.159,18.038,18.353,"Manchester Airport","Alpha-pinene_EtOH","M2-EA",2024-07-10
"NH.97",15624,0.9777,944,1288.049,48.677,1205.087,1397.372,80.262,84.034,1.476,81.142,86.926,17.067,17.085,0.378,17.067,17.825,"Manchester Airport","Ips","M3-I",2024-05-15
"NH.76",199756,0.998,1446,1777.11,43.547,1702.154,1873.998,13.136,13.201,0.077,13.136,13.351,3.623,3.623,0.015,3.623,3.652,"Manchester Airport","Ips","M3-I",2024-05-29
"NH.109",319946,0.9978,2294,2949.113,64.567,2834.288,3088.341,16.457,16.542,0.082,16.457,16.703,3.658,3.658,0.012,3.658,3.681,"Manchester Airport","Ips","M3-I",2024-06-12
"NH.61",298092,0.998,2180,2733.703,59.559,2628.726,2863.24,18.903,18.998,0.096,18.903,19.186,4.156,4.156,0.015,4.156,4.184,"Manchester Airport","Ips","M3-I",2024-06-26
"NH.110",23413,0.9783,1390,1904.076,60.466,1798.556,2036.849,102.764,107.513,1.635,104.307,110.718,17.821,17.833,0.321,17.821,18.463,"Manchester Airport","Ips","M3-I",2024-07-10
"NH.106",34749,0.9886,1163,1502.419,44.742,1425.431,1601.993,23.363,23.935,0.372,23.363,24.664,4.263,4.263,0.041,4.263,4.344,"Pease","Ethanol","P1-E",2024-05-01
"NH.100",40382,0.9921,1457,1697.744,35.125,1638.141,1776.96,102.622,105.012,1.256,102.622,107.474,18.256,18.264,0.221,18.256,18.697,"Pease","Ethanol","P1-E",2024-05-15
"NH.72",375390,0.9983,3341,3778.538,45.518,3698.029,3877.203,45.09,45.338,0.217,45.09,45.763,7.456,7.456,0.026,7.456,7.507,"Pease","Ethanol","P1-E",2024-05-29
"NH.35",163736,0.9976,1663,1956.431,38.295,1890.449,2041.553,13.671,13.761,0.1,13.671,13.957,3.378,3.378,0.013,3.378,3.404,"Pease","Ethanol","P1-E",2024-06-12
"NH.36",22287,0.9904,891,1043.049,27.097,998.516,1106.029,44.416,45.578,0.819,44.416,47.182,7.858,7.86,0.121,7.858,8.098,"Pease","Ethanol","P1-E",2024-06-26
"NH.137",32201,0.9841,1208,1847.356,76.334,1714.378,2015.254,41.355,42.676,0.63,41.442,43.91,11.492,11.496,0.108,11.492,11.707,"Pease","Ethanol","P1-E",2024-07-10
"NH.39",50793,0.9976,1037,1108.362,16.882,1082.168,1149.746,123.823,125.268,1.124,123.823,127.471,28.302,28.317,0.314,28.302,28.933,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-01
"NH.91",382603,0.9992,3095,3311.648,31.9,3257.589,3383.681,109.357,109.858,0.488,109.357,110.814,21.147,21.148,0.079,21.147,21.303,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-15
"NH.122",20773,0.982,928,1332.425,55.762,1237.05,1457.235,30.337,31.437,0.582,30.337,32.578,7.772,7.775,0.098,7.772,7.966,"Pease","Alpha-pinene_EtOH","P2-EA",2024-05-29
"NH.70",434957,0.9986,2541,3008.25,48.976,2921.691,3114.49,10.109,10.148,0.04,10.109,10.226,3.651,3.651,0.007,3.651,3.664,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-12
"NH.131",11959,0.9772,805,1039.348,37.208,977.011,1124.278,83.269,87.418,1.673,84.138,90.698,23.461,23.505,0.431,23.461,24.35,"Pease","Alpha-pinene_EtOH","P2-EA",2024-06-26
"NH.124",19428,0.9861,647,961.208,51.263,875.694,1078.698,28.174,28.954,0.463,28.174,29.862,11.109,11.115,0.111,11.109,11.332,"Pease","Alpha-pinene_EtOH","P2-EA",2024-07-10
"NH.113",42196,0.9988,703,740.515,14.014,721.474,779.18,157.654,159.097,1.255,157.654,161.556,51.046,51.106,0.665,51.046,52.409,"Pease","Ips","P3-I",2024-05-01
"NH.129",45238,0.9849,2307,2898.519,59.492,2792.931,3027.05,245.406,254.28,2.586,249.213,259.348,40.398,40.433,0.7,40.398,41.804,"Pease","Ips","P3-I",2024-05-15
"NH.132",10043,0.9718,687,1002.28,50.029,918.454,1116.465,38.471,40.658,1.083,38.535,42.78,6.182,6.185,0.136,6.182,6.451,"Pease","Ips","P3-I",2024-05-29
"NH.95",696537,0.9986,4794,5546.667,62.349,5434.046,5679.103,85.622,85.994,0.242,85.622,86.468,25.572,25.573,0.057,25.572,25.685,"Pease","Ips","P3-I",2024-06-26
"NH.115",22347,0.9855,744,1191.544,67.898,1076.99,1345.505,41.585,42.802,0.542,41.739,43.865,16.935,16.948,0.183,16.935,17.307,"Pease","Ips","P3-I",2024-07-10
